"KEY","p_trend","COD","AIC","BIC","df","LAG","SUM_rows","SUM_cols","coef1","CLASS"
"199-D5-123",0.00149773594653468,NA,NA,NA,64,80,3,4,87.9647728999575,"Trend_Summary"
"199-D5-125",1.05836725503572e-05,NA,NA,NA,61,47,3,4,81.9185666074253,"Trend_Summary"
"199-D5-126",0,NA,NA,NA,3651,41,3,4,95.930632538683,"Trend_Summary"
"199-D5-128",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D5-13",0,NA,NA,NA,2897,30,3,4,82.1616373047687,"Trend_Summary"
"199-D5-132",2.50385201461256e-09,NA,NA,NA,33,79,3,4,104.951307931772,"Trend_Summary"
"199-D5-133",0,NA,NA,NA,3566,51,3,4,103.403057971292,"Trend_Summary"
"199-D5-134",0,NA,NA,NA,3420,2,3,4,63.3244928440169,"Trend_Summary"
"199-D5-14",0,NA,NA,NA,5182,55,3,4,97.3249432420178,"Trend_Summary"
"199-D5-141",0,NA,NA,NA,36,10,3,4,72.8167376245437,"Trend_Summary"
"199-D5-142",4.43981518216674e-11,NA,NA,NA,47,54,3,4,98.7103957973502,"Trend_Summary"
"199-D5-143",0,NA,NA,NA,35,77,3,4,92.36658532322,"Trend_Summary"
"199-D5-145",8.06483749071774e-06,NA,NA,NA,71,36,3,4,94.5211439084299,"Trend_Summary"
"199-D5-146",0.00259605111445949,NA,NA,NA,5,16,3,4,149.345083686299,"Trend_Summary"
"199-D5-147",0.000640171829920044,NA,NA,NA,28,63,3,4,83.0068299152005,"Trend_Summary"
"199-D5-148",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL"
"199-D5-149",5.12184737699872e-06,NA,NA,NA,35,31,3,4,85.5894672239095,"Trend_Summary"
"199-D5-15",3.20644016227334e-07,NA,NA,NA,103,42,3,4,90.7022874997944,"Trend_Summary"
"199-D5-150",1.3443690605186e-12,NA,NA,NA,36,44,3,4,92.0340710113307,"Trend_Summary"
"199-D5-151",5.10049041890781e-08,NA,NA,NA,24,66,3,4,85.8850121847509,"Trend_Summary"
"199-D5-152",8.64341931361423e-12,NA,NA,NA,39,69,3,4,91.8307447626512,"Trend_Summary"
"199-D5-16",1.05991608623235e-06,NA,NA,NA,83,64,3,4,79.4245959103421,"Trend_Summary"
"199-D5-160",0,NA,NA,NA,1836,56,3,4,101.755081706852,"Trend_Summary"
"199-D5-162",0.00856146765854471,NA,NA,NA,6,32,3,4,77.1113178354358,"Trend_Summary"
"199-D5-163",0.00181994585295064,NA,NA,NA,6,1,3,4,146.570601753004,"Trend_Summary"
"199-D5-17",0,NA,NA,NA,3680,63,3,4,102.65991665679,"Trend_Summary"
"199-D5-18",0.00248690904149118,NA,NA,NA,57,86,3,4,88.1144345860577,"Trend_Summary"
"199-D5-19",0,NA,NA,NA,3685,77,3,4,103.979179425867,"Trend_Summary"
"199-D5-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL"
"199-D5-33",0,NA,NA,NA,5699,25,3,4,77.5111588309558,"Trend_Summary"
"199-D5-34",0,NA,NA,NA,1863,47,3,4,81.4229200488811,"Trend_Summary"
"199-D5-36",0,NA,NA,NA,5546,16,3,4,69.2140434572514,"Trend_Summary"
"199-D5-37",0,NA,NA,NA,3591,9,3,4,63.1667318308981,"Trend_Summary"
"199-D5-38",0,NA,NA,NA,5651,39,3,4,81.9161179211704,"Trend_Summary"
"199-D5-40",0,NA,NA,NA,83,41,3,4,67.4768523718302,"Trend_Summary"
"199-D5-41",0,NA,NA,NA,2158,23,3,4,80.9720242909041,"Trend_Summary"
"199-D5-42",0.00106404805802407,NA,NA,NA,16,37,3,4,76.5334467839405,"Trend_Summary"
"199-D5-43",0,NA,NA,NA,4462,48,3,4,86.0449641369257,"Trend_Summary"
"199-D5-44",1.33226762955019e-15,NA,NA,NA,49,2,3,4,74.2248105763494,"Trend_Summary"
"199-D5-92",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
