KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,n_cens,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D3-2__ITER2,199-D3-2,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,7.0,0.0024292967553399825,4.0,13.594458461060729,13.753341544420401,0.7912863056764595,13.126267615810537,17.417645963448333,23.63476539027858,13.205709157490373,17.497087505128167,23.714206931958415,-4.797229230530364,8.0,0.0,-8.759367997279528,0.11053240583958189,-0.00011428862229332413,-2.3329421537809303,0.19380039982225417,0.0034230152582673365,4,4,INTERP+EVENT,True
199-D3-5__ITER1,199-D3-5,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,15.0,0.01932535072613817,23.0,75.08494017531152,77.67661390732017,0.5035038826713505,73.71261246433133,80.33296521754077,80.97761524699835,75.00844933033565,81.62880208354511,82.27345211300269,-35.54247008765576,27.0,2.0,18.85808657564932,-0.10430844415322527,-0.0002747275776701872,-0.6087154598191538,0.42586891181672903,0.0041152355569651685,4,4,INTERP+EVENT,True
199-D3-7__ITER1,199-D3-7,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-1__ITER1,199-D4-1,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,4.0,0.0014075786044992489,12.0,37.239954033377174,38.78513147785674,1.0,46.005356652339,37.812525373602256,48.37172273861454,46.777945374578785,38.58511409584204,49.14431146085432,-16.619977016688587,16.0,6.0,153.86053991365068,-1.346688723721127,0.0004178169572227452,-0.178925815561869,0.0004003319212995174,0.10547012637111906,4,4,INTERP+EVENT,True
199-D4-1__ITER2,199-D4-1,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,4.0,0.001263790946886001,3.0,9.438805931959159,9.330626230069786,0.614244565671659,8.464081702528418,20.569287325852898,20.78608470607461,8.409991851583731,20.51519747490821,20.731994855129923,-2.7194029659795795,7.0,0.0,-7.619405515042529,0.1464308750938678,-0.00037061504290509015,-1.9386215815465941,0.29335485873465916,4.98910701229976e-10,4,4,INTERP+EVENT,True
199-D4-101__ITER1,199-D4-101,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,32.0,0.0,69.0,130.532393151037,135.11331203333378,1.0,144.55856730505988,195.70630064257807,214.82179040917634,146.84902674620827,197.99676008372646,217.11224985032473,-63.2661965755185,73.0,4.0,-25.30540633992726,0.35094911831374964,-0.0007780772437737142,-0.5091267373818733,2.274385889973145e-05,1.7645559949783665e-22,4,4,INTERP+EVENT,True
199-D4-102__ITER1,199-D4-102,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,22.0,8.345011806021319e-07,5.0,1.9647409942754752,2.3591901489479143,1.0,9.938307562066303,27.053578362061977,27.957604352598985,10.135532139402523,27.250802939398195,28.154828929935203,1.0176295028622624,9.0,2.0,39.9568432429847,0.510590818378775,-0.005622236085639552,-1.3950969151778174,5.010814493649431e-06,9.28841250055908e-31,4,4,INTERP+EVENT,True
199-D4-102__ITER2,199-D4-102,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,22.0,0.09319755587348544,4.0,15.87017022566651,16.02905330902618,1.0,17.24032828934465,18.418220122507744,18.616237790002266,17.319769831024484,18.49766166418758,18.6956793316821,-5.935085112833255,8.0,4.0,-60.00556462920005,0.43501196420122246,0.0005239868021442308,-1.5282525642611242,0.07438039058796903,0.008626226651557517,4,4,INTERP+EVENT,True
199-D4-103__ITER1,199-D4-103,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,55.0,0.13558047024284825,9.0,38.36051973358502,39.490418448508095,0.8670167777144268,40.347173822827,38.075125831724144,40.35689961079734,40.91212318028854,38.64007518918568,40.92184896825888,-17.18025986679251,13.0,3.0,-67.53884513292459,0.5337698537816584,0.000348447638747487,-0.34921682109620106,0.030871725319479192,0.18270254352995718,4,4,INTERP+EVENT,True
199-D4-13__ITER1,199-D4-13,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,20.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
