NAME,DIST
199-D2-6,640.3713822803996
199-D5-13,413.0711420026598
199-D5-14,700.1089084199837
199-D5-15,760.0045637153459
199-D5-16,885.3466355900366
199-D5-17,1032.8606891472596
199-D5-18,1111.8114001677682
199-D5-19,1169.3760497085939
199-D5-20,174.2283292902775
199-D8-4,252.13131350797448
199-D8-5,184.80307294524465
199-D8-53,232.70244888325692
199-D8-54A,201.95898124562834
199-D8-54B,201.57629646750522
199-D8-55,139.5354330332977
199-D8-6,267.9249865557592
199-H3-2A,500.5689002427002
199-H3-2B,493.00944968535316
199-H3-2C,495.0225835349658
199-H4-10,73.46203592384602
199-H4-11,100.76268772626298
199-H4-12A,99.05754569313082
199-H4-12B,99.51505276287786
199-H4-12C,92.75948323557934
199-H4-13,116.94178732213054
199-H4-15A,88.71573384541523
199-H4-15B,87.87534571289422
199-H4-15CQ,81.7416732838551
199-H4-15CR,81.7416732838551
199-H4-15CS,81.7416732838551
199-H4-16,310.7024811529354
199-H4-17,189.9409340335247
199-H4-18,183.95626145265527
199-H4-4,92.03841056269135
199-H4-45,263.31537816738734
199-H4-46,479.41824337016504
199-H4-47,406.52612921340034
199-H4-49,613.5106102590288
199-H4-5,134.90089700497455
199-H4-6,433.1518546173472
199-H4-8,211.383854119384
199-H5-1A,775.6449962427631
199-H6-1,308.3224537348013
199-K-11,513.4803080933011
199-K-13,518.8440729195792
199-K-18,241.34153143000404
199-K-19,326.48227758923423
199-K-20,160.71544144808573
199-K-21,165.40959623926295
199-K-22,229.21658819458614
199-K-31,99.96315079569041
199-K-32A,278.99122083092414
199-K-32B,271.85492948881426
199-K-34,418.235834463522
199-K-36,959.7512246907336
199-K-37,274.95869181484414
699-101-48B,112.01882402888958
699-73-61,2851.9389688725246
699-78-62,1490.9898964035997
699-88-41,2021.7574305755295
699-89-35,152.9090098606322
699-90-34,196.35803019381845
699-90-38,873.0982239820622
699-90-45,2698.9410331412123
699-90-37B,612.2236610145001
699-91-46A,2556.211205645045
699-92-49,1597.6978961773366
699-93-48A,1519.8945992804986
699-96-43,1176.2840292734975
699-97-51A,446.5311326876451
699-98-49A,722.5823194380272
199-H4-2,273.8162086373135
199-H4-15C,81.7416732838551
199-K-25,201.3960707162338
699-81-62,877.9801585822328
699-93-50,1202.96535371636
199-H4-15CP,81.7416732838551
199-K-110A,655.6210700504271
199-K-111A,509.25570403801254
199-K-107A,430.60523010044733
199-K-108A,551.5948036225146
199-H5-2,788.5172183632491
199-H5-3P,785.5056760974643
199-H5-4P,783.0846929412945
199-H5-5P,780.6637097851246
199-H5-5O,781.8448280043543
199-H5-4O,784.2658111605242
199-H5-3O,786.6867943166941
199-H5-6,780.0144039577992
199-H5-7,778.9909742966341
199-H5-9,777.6521675193399
199-H5-10,775.6640549147203
199-H5-8,777.9675446354692
199-H5-11,772.8689479247106
199-H5-12,763.1448201773874
199-H5-13,757.8297881908537
199-H5-14,754.1689400977438
199-H5-15,752.1808274931241
199-D8-68,144.64903081577202
199-D8-69,125.18818037616147
199-D8-70,219.470068855563
199-D8-71,218.89200237934742
199-H4-63,102.46765042732038
199-H4-64,88.21419021737044
199-H3-3,784.3818915827793
199-H3-4,840.0627726924847
199-H3-5,915.7358544318711
199-K-112A,124.29367872883931
199-K-113A,143.25787436443673
199-K-114A,97.8269226799591
199-K-115A,142.99160501850238
199-K-116A,217.27974975145017
199-K-117A,85.96466307212624
199-K-118A,164.53203401145524
199-K-119A,287.4789505214403
199-K-120A,192.43425389313077
199-K-121A,702.7668907228583
199-K-122A,845.6702973536316
199-K-123A,872.1203892527802
199-K-124A,895.3608084031908
199-D4-1,159.29512888905694
199-D4-2,180.83154808050463
199-D4-3,177.68127035999575
199-D4-4,151.86112209731021
199-D4-5,151.97806396218039
199-D4-6,132.04949623134317
199-D4-7,170.36935902549646
199-D4-8,171.1847436025091
199-D4-9,173.87382488621304
199-D4-10,170.05245161735445
199-D4-11,174.26904917901783
199-D4-12,170.74595258149867
199-D4-13,188.1248363816466
199-D4-14,165.87088923908084
199-D4-15,384.98029449655866
199-D3-2,204.64608671528953
199-D4-16,164.57746853499708
17-D,23.19703630995835
17-M,23.19703630995835
18-S,18.29887466388325
19-D,14.550612800356511
19-M,14.854538286537663
21-M,28.007834041031057
22-D,6.728741502336445
22-M,6.728741502336445
23-M,23.73600065420928
35-S,25.090355289458618
36-D,9.410694109096895
36-M,9.410694109096895
36-S,9.410694109096895
37-D,27.937255539600997
37-M,27.937255539600997
37-S,27.937255539600997
38-D,45.63608726699723
38-M,45.63608726699723
43-M,33.00347389376537
44-M,24.777530573910184
45-D,27.82812395992852
45-M,27.82812395992852
45-S,27.82812395992852
47-D,49.77030176676572
47-M,49.8710462037589
48-M,21.286430056309122
48-S,21.286430056309122
49-D,56.75376409913401
49-M,56.72474940447792
49-S,56.72474940447792
50-D,81.9951180819487
50-M,81.9951180819487
50-S,81.97314680950146
51-D,66.10836966360301
51-M,66.10836966360301
51-S,66.10836966360301
52-D,14.643524389207016
52-M,14.643524389207016
52-S,14.643524389207016
53-D,528.3344564666947
53-M,528.8000139665988
53-S,528.8000139665988
54-D,18.628078129666367
54-M,18.628078129666367
54-S,18.628078129666367
55-D,29.92404671011686
55-M,30.66211745465536
55-S,30.66211745465536
58-D,72.4759654536621
58-M,71.50247308991975
58-S,72.28284530610941
199-D4-17,148.86634189108315
199-D4-18,131.74246076425047
DD-06-2,3.6354501596769704
DD-06-3,3.6354501596769704
DD-08-3,9.518936012234906
DD-08-4,9.518936012234906
DD-10-4,28.73826680007606
DD-12-2,5.513695933585624
DD-12-3,6.736054471571073
DD-12-4,6.194623786535945
DD-15-2,41.94573632729763
DD-15-3,42.34477553625517
DD-15-4,42.052193855248454
DD-16-3,36.722394439850454
DD-16-4,36.47971571904735
DD-17-2,31.43982207491476
DD-17-3,30.51832527145655
DD-39-1,6.8816699496980895
DD-39-2,6.9059704083189555
DD-41-2,18.46227711890055
DD-41-3,18.327625076599773
DD-41-1,18.372004516266703
DD-42-2,10.05833960908664
DD-42-3,10.341921994389153
DD-42-4,10.707445726717314
DD-43-2,18.49163102524831
DD-43-3,18.79387496113393
DD-44-3,24.518999854738873
DD-44-4,21.733248272860987
DD-49-1,15.217796376572377
DD-49-2,14.696123041038367
DD-49-3,11.852729139549623
DD-49-4,11.723308540427045
DD-50-1,6.369205108384715
DD-50-2,6.480129556474065
DD-50-3,7.0470326774095104
DD-50-4,7.031285954278437
DH-14-1,49.2843163492822
DH-14-11,52.34160212946518
DH-1451-1,29.090190753679323
DH-1452-1,24.34011230635028
DH-22-1,2.5829488165784174
DH-22-2,2.5829488165784174
DH-22-3,2.5829488165784174
DK-04-2,14.914808059941809
DK-04-3,14.908874348973663
199-K-125A,171.425299225582
199-D5-36,145.06793638808864
199-D5-37,161.27612662234537
199-D4-19,208.2467716710134
199-D5-38,346.02180994815626
199-D5-39,532.6596396867913
199-D5-40,538.2706537247499
199-D4-20,395.9376405437507
199-D5-41,435.1124917939741
199-D5-42,643.650295917557
199-D5-43,668.6903872662757
199-D5-44,144.73751331834762
199-D4-21,170.7416848832456
199-H4-65,181.9294254853108
199-K-126,330.1932653797671
199-D4-22,198.6524930061269
199-D4-23,77.47633193786656
DD-10-2,28.73826680007606
DD-10-3,28.73826680007606
DD-08-2,9.518936012234906
199-D4-24,180.7103847378749
199-D4-25,185.82059517203345
199-D4-26,177.7988053887521
199-D4-27,183.30799553614034
199-D4-28,175.2995018669004
199-D4-29,180.70510018737366
199-D4-30,172.54170601946183
199-D4-31,178.01702805258145
199-D4-32,176.79158623506893
199-D4-33,169.71383980529052
199-D4-34,175.62364664410043
199-D4-35,168.4647677272375
199-D4-36,174.4203791394901
199-D4-37,167.47024767193966
199-D4-38,114.36576858895677
199-D4-39,92.32839172520868
199-D4-40,173.46644458643175
199-D4-41,166.50323655250517
199-D4-42,170.64830394808502
199-D4-43,163.041247385112
199-D4-44,161.29215360099494
199-D4-45,165.71316928639249
199-D4-46,157.3280666542268
199-D4-47,162.2319562183242
199-D4-48,153.6896536147737
199-D4-49,188.8758434240781
199-D4-50,183.48826341800591
199-D4-51,191.62873989227222
199-D4-52,186.311122404994
199-D4-53,194.02066920491143
199-D4-54,188.88395128036083
199-D4-55,189.9013543638085
199-D4-56,197.36971073402515
199-D4-57,191.8732851641946
199-D4-58,199.6269494872859
199-D4-59,194.37183375031356
199-D4-60,202.2904746537019
199-D4-61,196.88814643773927
199-D4-62,204.72378677309274
199-D4-63,198.96644229853487
199-D4-64,207.33106922324993
199-D4-65,201.32679141448753
199-D4-66,209.8001175378588
199-D4-67,203.55659441455367
199-D4-68,212.03954211750505
199-D4-69,205.9083272480221
199-D4-70,214.6800571492092
199-D4-71,208.43991583006996
199-D4-72,215.81457542465589
199-D4-73,208.97981432300776
199-D4-74,216.1195579285885
199-D4-75,209.3072292047604
199-D4-76,216.7858542423666
199-D4-77,209.73406450793078
199-D4-78,216.98048131100842
199-D4-79,210.388886567968
199-D4-80,216.69501046805934
199-D4-81,208.48133851682363
199-D3-3,214.65939960292218
199-D4-82,206.69442641317332
199-D3-4,212.78966574221715
199-D4-83,124.08633337490173
199-D4-84,110.71759530815574
199-D4-85,126.06074853026261
199-D4-86,130.85990162038632
Redox-1-3.3,14.84820305521779
Redox-4-3.0,9.802620517099129
Redox-3-3.3,5.541708994876172
Redox-1-6.0,14.84820305521779
Redox-2-6.0,13.666569106440708
Redox-3-4.6,5.541708994876172
Redox-4-6.0,9.802620517099129
199-K-127,278.38515079359166
199-K-128,810.5336577558203
199-D4-87,168.42643547730327
199-D4-88,167.4264267307367
199-D4-89,172.30019204579568
199-D8-72,230.2425117755871
199-K-129,128.13792436319628
199-K-130,155.5119131727031
699-96-44,1167.371932740612
699-96-45,1171.1038097768962
199-D5-32,355.110964589234
199-D5-33,301.6823048612759
199-D5-34,517.5071616756665
AT-D-1-D,36.77271316656182
AT-D-1-M,38.538288431517955
AT-D-1-S,37.81155103406672
AT-D-2-M,13.201995970132788
AT-D-2-S,15.133071959392074
AT-D-3-D,15.75016388630022
AT-D-3-M,16.123826480591124
AT-D-3-S,15.819862641442901
AT-D-4-S,4.548298232988115
AT-D-4-M,4.046057940254092
AT-D-4-D,4.015086314216844
AT-D-5-D,9.426939496878783
AT-D-5-M,9.316983862621976
AT-H-1-D,25.9768391127773
