NAME,XCOORDS,YCOORDS,OU,SYSTEM
199-K-22,570023.7,148097.4,100-KR-4,KX_KW_KR4
199-K-220,569356.2,146417.5,100-KR-4,KX_KW_KR4
199-K-221,569129.4,146753.9,100-KR-4,KX_KW_KR4
199-K-222,569186.8,146730.6,100-KR-4,KX_KW_KR4
199-K-23,569081.8,146635.8,100-KR-4,KX_KW_KR4
199-K-32A,569024.2,147006.7,100-KR-4,KX_KW_KR4
199-K-32B,569012.4,147004.8,100-KR-4,KX_KW_KR4
199-K-34,568605.8,146501.9,100-KR-4,KX_KW_KR4
199-K-36,569373.6,146390.5,100-KR-4,KX_KW_KR4
199-K-37,570216.2,148226.5,100-KR-4,KX_KW_KR4
199-N-189,571431.7,148430.5,100-NR-2,KX_KW_KR4
21-M,569603.8,148039.3,100-KR-4,KX_KW_KR4
21-S,569604.8,148035.8,100-KR-4,KX_KW_KR4
22-D,569951.3,148359.5,100-KR-4,KX_KW_KR4
22-M,569951.3,148359.5,100-KR-4,KX_KW_KR4
23-M,570225.5,148592.7,100-KR-4,KX_KW_KR4
25-D,570547,149001,100-NR-2,KX_KW_KR4
26-D,570725,149148,100-NR-2,KX_KW_KR4
26-M,570725,149148,100-NR-2,KX_KW_KR4
26-S,570725,149148,100-NR-2,KX_KW_KR4
699-73-61,571420.8,145781.5,100-KR-4,KX_KW_KR4
699-78-62,570877.3,147166.2,100-KR-4,KX_KW_KR4
699-81-58,572185.4,148173.4,100-NR-2,KX_KW_KR4
AT-K-1-D,568327.3,146807.1,100-KR-4,KX_KW_KR4
AT-K-1-M,568325.5,146806.9,100-KR-4,KX_KW_KR4
AT-K-2-D,568801.2,147157.9,100-KR-4,KX_KW_KR4
AT-K-2-M,568804,147158,100-KR-4,KX_KW_KR4
AT-K-3-D,569178.2,147581,100-KR-4,KX_KW_KR4
AT-K-3-M,569180,147581.4,100-KR-4,KX_KW_KR4
AT-K-3-S,569177.9,147579.9,100-KR-4,KX_KW_KR4
AT-K-4-D,570123.8,148477.5,100-KR-4,KX_KW_KR4
AT-K-4-M,570123.1,148477,100-KR-4,KX_KW_KR4
AT-K-4-S,570123.1,148477,100-KR-4,KX_KW_KR4
AT-K-5-D,570358.9,148738.3,100-KR-4,KX_KW_KR4
AT-K-5-M,570356.5,148737.4,100-KR-4,KX_KW_KR4
AT-K-5-S,570358,148738.2,100-KR-4,KX_KW_KR4
AT-K-6-D,570642.4,149034.9,100-NR-2,KX_KW_KR4
AT-K-6-M,570639.6,149032.9,100-NR-2,KX_KW_KR4
AT-K-6-S,570641.2,149033.7,100-NR-2,KX_KW_KR4
C3164,570921.4,149012.3,100-NR-2,KX_KW_KR4
C6239,568592.5,146977.9,100-KR-4,KX_KW_KR4
C6240,568591.6,146979.3,100-KR-4,KX_KW_KR4
C6241,568592,146978.9,100-KR-4,KX_KW_KR4
C6242,568695.1,147063.5,100-KR-4,KX_KW_KR4
C6243,568695.3,147063,100-KR-4,KX_KW_KR4
C6244,568694.1,147064,100-KR-4,KX_KW_KR4
C6245,568922.4,147279.5,100-KR-4,KX_KW_KR4
C6246,568920.9,147277.7,100-KR-4,KX_KW_KR4
C6247,568921.7,147276.1,100-KR-4,KX_KW_KR4
