ID,EASTING,NORTHING,WELL_NAME,WELL_ID,DRILL_DATE,WELL_TYPE,GW_AREA_OF,sspaMAPOU,AQT_GROUPI,sspaMapOU_
1054,568674.07000000000,146266.88000000000,199-K-173,C7016,9/18/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1055,568915.38000000000,146222.47000000000,199-K-174,C7061,2/20/2009,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1056,568882.72000000000,146008.84000000000,199-K-175,C7062,2/27/2009,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1063,568302.28000000000,146439.70000000000,199-K-183,C7683,5/12/2010,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1064,568618.68000000000,146366.32000000000,199-K-184,C7684,12/14/2010,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1065,568574.92000000000,146726.17000000000,199-K-185,C7685,6/24/2010,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1076,568850.08000000000,146086.38000000000,199-K-195,C7695,11/2/2010,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1077,568433.30000000000,146639.26000000000,199-K-196,C7696,7/21/2011,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1081,568950.70900000000,146496.83300000000,199-K-2,A5730,2/28/1952,VADOSE WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1087,568648.34000000000,146572.85000000000,199-K-204,C8291,8/21/2014,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1088,568845.67000000000,146090.86000000000,199-K-205,C8292,9/9/2013,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1089,568734.33000000000,146049.54000000000,199-K-206,C8293,10/2/2013,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1108,568781.07000000000,146145.09000000000,199-K-223,C9595,6/29/2016,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1109,568735.26000000000,146205.95000000000,199-K-224,C9596,6/14/2016,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1121,568177.56400000000,146591.11400000000,199-K-31,A4656,4/1/1986,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1124,568573.65000000000,146713.25000000000,199-K-33,A4659,8/10/1992,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1125,568605.78000000000,146501.94000000000,199-K-34,A4660,8/20/1992,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1126,568832.33000000000,146110.68000000000,199-K-35,A4661,8/21/1992,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1129,568474.63000000000,146642.93000000000,199-K-38,A5745,10/22/1992,VADOSE WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1189,568700.60300000000,146828.27800000000,199-K-92,A5799,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
