"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-34-E13","A8545","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-35-3A","A8546","VADOSE WELL","DECOMMISSIONED-V",146.304,NA,149.299,134189.649,588961.221,"200-PO-1"
"699-35-3B","A8547","VADOSE WELL","DECOMMISSIONED-V",122.5296,121.4628,147.406,134275.68,589068.625,"200-PO-1"
"699-35-6","A8548","UNCLASSIFIED","CANDIDATE FOR DECOMMISSIONING",161.544,NA,154.334,134318.74,588026.9,"200-PO-1"
"699-35-16","A8549","UNCLASSIFIED","DECOMMISSIONED-V",172.212,NA,140.762,134124.603,585108.383,"200-PO-1"
"699-35-19A","A8550","VADOSE WELL","DECOMMISSIONED-V",10.668,10.72896,145.512,134090.48,584084.6,"200-PO-1"
"699-35-19B","A8551","VADOSE WELL","DECOMMISSIONED-V",169.4688,NA,146.973,134078.855,584074.741,"200-PO-1"
"699-35-27","A8554","GROUNDWATER WELL","IN-USE",427.6344,NA,163.097,134066.434,581536.115,"200-PO-1"
"699-35-28","A8555","VADOSE WELL","DECOMMISSIONED-V",208.788,43.1292,163.932,134021.303,581285.709,"200-PO-1"
"699-35-57","A8556","GROUNDWATER WELL","IN-USE",106.68,107.923584,222.165,134106.712,572422.612,"200-PO-1"
"699-35-58","A8557","GROUNDWATER WELL","IN-USE",106.68,107.801664,221.561,134272.86,572300.422,"200-PO-1"
"699-35-59","A8558","GROUNDWATER WELL","IN-USE",106.68,NA,222.116,134096.2,571956.4,"200-UP-1"
"699-35-78B","A8559","VADOSE WELL","DECOMMISSIONED-V",194.4624,NA,202.16,134279.214,566047.649,"200-UP-1"
"699-35-95","A8560","VADOSE WELL","DECOMMISSIONED-V",45.72,NA,199.26,134188.137,561064.674,"200-UP-1"
"699-36-1","A8561","VADOSE WELL","DECOMMISSIONED-V",91.44,NA,149.141,134609.694,589484.242,"200-PO-1"
"699-36-2","A8562","UNCLASSIFIED","DECOMMISSIONED-V",93.8784,NA,148.544,134397.669,589225.48,"200-PO-1"
"699-36-10","A8563","UNCLASSIFIED","CANDIDATE FOR DECOMMISSIONING",183.7944,45.23232,162.623,134605.01,586772.341,"200-PO-1"
"699-36-17","A8564","UNCLASSIFIED","DECOMMISSIONED-V",154.8384,NA,136.164,134613.008,584706.701,"200-PO-1"
"699-36-21","A8565","VADOSE WELL","DECOMMISSIONED-V",36.576,27.1272,149.834,134409.886,583611.548,"200-PO-1"
"699-36-27","A8566","GROUNDWATER WELL","IN-USE",199.644,42.8244,163.311,134448.024,581803.029,"200-PO-1"
"699-36-46","A8567","PIEZOMETER HOST","IN-USE",95.0976,NA,NA,134518.281,575994.625,"200-PO-1"
"699-36-46P","A8568","HOSTED PIEZOMETER","IN-USE",162.4584,162.4584,216.091,134516.759,575994.221,"200-PO-1"
"699-36-46Q","A8569","HOSTED PIEZOMETER","IN-USE",137.7696,138.19632,215.77,134528.719,575995.435,"200-PO-1"
"699-36-46R","A8570","HOSTED PIEZOMETER","IN-USE",116.4336,112.3188,215.914,134540.543,575996.721,"200-PO-1"
"699-36-58A","A8571","GROUNDWATER WELL","IN-USE",109.728,NA,225.431,134536.248,572251.672,"200-PO-1"
"699-36-58B","A8572","GROUNDWATER WELL","IN-USE",106.68,NA,222.489,134431.185,572253.483,"200-PO-1"
"699-36-61B","A8573","INDEPENDENT PIEZOMETER","IN-USE",173.1264,116.009928,229.384,134586.889,571401.207,"200-UP-1"
"699-36-E3","A8574","VADOSE WELL","DECOMMISSIONED-V",114.3,NA,143.367,134348.171,590776.908,"200-PO-1"
