"NAME","TOP","BOT"
"199-D4-32",118.694496,114.1164
"199-D4-33",118.17176,113.59976
"199-D4-34",118.219688,113.641592
"199-D4-35",118.729568,114.148424
"199-D4-36",118.733664,114.158616
"199-D4-37",118.486824,113.90568
"199-D4-38",119.860656,113.764656
"199-D4-39",120.568792,114.466696
"199-D4-4",119.753232,113.66028
"199-D4-40",118.66484,114.0014
"199-D4-41",118.42244,113.85044
"199-D4-42",119.84428,113.74828
"199-D4-43",118.2388,113.743
"199-D4-44",117.56916,112.99716
"199-D4-45",119.295384,113.29692
"199-D4-46",117.506792,112.934792
"199-D4-47",117.8626,113.2906
"199-D4-48",119.0732,112.9772
"199-D4-49",118.2464,113.6744
"199-D4-5",116.535368,113.37764
"199-D4-50",117.928232,113.462912
"199-D4-51",118.225504,113.653504
"199-D4-52",118.293224,113.763896
"199-D4-53",118.141352,113.630312
"199-D4-54",118.11644,113.6054
"199-D4-55",117.85712,113.288168
"199-D4-56",118.221176,113.636984
"199-D4-57",118.12468,113.5984
"199-D4-58",118.052744,113.538656
"199-D4-59",117.486784,112.92088
"199-D4-6",120.182256,114.092352
"199-D4-60",117.211992,112.700952
"199-D4-61",116.834384,112.305056
"199-D4-62",117.70872,110.143584
"199-D4-63",117.386,109.866584
"199-D4-64",117.541112,109.945496
"199-D4-65",117.436336,109.868152
"199-D4-66",117.694368,110.129232
"199-D4-67",117.45844,109.92988
"199-D4-68",118.524504,109.392696
"199-D4-69",117.736832,110.129024
"199-D4-7",118.982096,114.41924
"199-D4-70",118.177024,110.557024
"199-D4-71",118.923976,109.862272
"199-D4-72",118.638384,109.57668
"199-D4-73",118.6116,109.55904
"199-D4-74",118.230488,109.177928
"199-D4-75",118.139408,109.11428
"199-D4-76",118.242576,109.18392
"199-D4-77",118.57548,109.489392
"199-D4-78",118.310488,109.25488
"199-D4-79",118.837616,109.77896
"199-D4-8",117.183064,114.083248
"199-D4-80",118.732056,109.670352
"199-D4-81",118.564,109.4962
"199-D4-82",118.2354,109.176744
"199-D4-83",119.4184,114.8464
"199-D4-84",120.478488,112.864584
"199-D4-85",119.5336,110.3896
"199-D4-86",119.201456,110.078792
"199-D4-87",116.822768,116.243648
"199-D4-88",118.469408,117.890288
"199-D4-89",115.12164,114.444984
"199-D4-9",115.787048,114.135032
"199-D4-90",115.397208,113.8854
"199-D4-91",119.975304,113.8854
"199-D4-92",118.222552,112.1296
"199-D4-93",118.282584,112.17744
"199-D4-94",121.050072,113.442264
"199-D4-95",119.243032,108.565888
"199-D4-96",117.3816,114.3336
"199-D4-97",117.01712,112.44512
"199-D4-98",118.65904,112.56304
"199-D4-99",119.47132,110.321224
"199-D5-101",120.590096,111.443048
"199-D5-102",120.00312,110.85912
"199-D5-103",119.13056,110.04752
"199-D5-104",119.664,110.52
"199-D5-106",122.897784,112.232832
"199-D5-107",119.00496,112.90896
"199-D5-108",118.84076,112.74476
"199-D5-109",118.75408,112.65808
"199-D5-110",119.5796,113.4836
"199-D5-111",119.676232,113.580232
"199-D5-112",118.744416,117.220416
"199-D5-113",114.97604,113.45204
"199-D5-114",118.99964,112.8122
"199-D5-115",118.99816,112.90216
"199-D5-116",119.027064,112.931064
"199-D5-117",118.72784,117.20384
"199-D5-118",114.44164,112.94812
"199-D5-119",119.491936,110.302216
"199-D5-120",119.815448,110.634872
"199-D5-121",120.3004,111.1564
"199-D5-122",119.981896,110.78608
"199-D5-123",120.162952,107.891704
"199-D5-125",119.905704,111.325584
"199-D5-126",119.243,110.099
"199-D5-127",119.631928,113.538976
"199-D5-128",119.398984,113.302984
"199-D5-129",119.560552,111.934456
"199-D5-13",120.39176,114.0824
"199-D5-130",118.312608,113.734512
"199-D5-131",119.008336,111.388336
"199-D5-132",119.722968,112.102968
"199-D5-133",120.582048,111.444144
"199-D5-134",103.47288,100.3944
"199-D5-14",120.37892,113.94764
"199-D5-140",119.168808,111.542712
"199-D5-141",95.137152,92.0922
"199-D5-142",119.700544,116.6434
"199-D5-143",119.35548,111.73548
"199-D5-144",121.3672,110.6992
"199-D5-145",121.86716,109.67516
"199-D5-146",120.737088,110.059944
"199-D5-147",121.589504,112.445504
"199-D5-148",122.620688,110.42564
"199-D5-149",113.962256,110.917304
"199-D5-15",120.34992,113.91864
"199-D5-150",120.70296,111.555912
