KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type,fit_ok,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,LAG_r,p_trend_r,AIC_r,BIC_r,logLik_r,beta_intercept_r,beta_interp_r,beta_event_r,p_interp_r,p_event_r,n_obs_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,,17-D,1.0,,,,,,,,,,,,both,,,,,,,,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,,17-D,2.0,,,,,,,,,,,,both,,,,,,,,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,,17-D,3.0,,,,,,,,,,,,both,,,,,,,,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.005592637331342187,0.6365222361711605,0.0008778319610699997,36.19554737902105,37.61164778122547,-16.097773689510525,15,0,INTERP+EVENT,True,2.8509175741163313,-0.04270060620197802,0.0007045043911130462,0.21742503542855895,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,,,,,,,8,8,EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.5438729613951419,0.676426753487801,0.4443769825432271,36.83644562442215,37.80625892399815,-16.418222812211074,12,0,INTERP+EVENT,True,8.687737961022581,-0.06179664497257985,0.00010657916658733987,0.2891969183251566,,,,,,,,,,,,,,left_only,,,,,,,,,,,
