KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type,fit_ok,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,LAG_r,p_trend_r,AIC_r,BIC_r,logLik_r,beta_intercept_r,beta_interp_r,beta_event_r,p_interp_r,p_event_r,n_obs_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
199-D3-2__ITER2,199-D3-2,2,7.0,ULAG,0.00309659648350058,0.29127135236708424,0.0009784004549036303,15.148113172910131,15.306996256269802,-5.5740565864550655,8,0,INTERP+EVENT,True,-11.542785066227829,0.11793656411253316,-0.00012417828564041604,0.09999806632580302,199-D3-2,2.0,7.0,0.0024292967553416,13.5944584610621,13.7533415444218,-3.79722923053106,-8.75936799672646,0.11053240583542,-0.0001142886222967,0.193826862730729,0.0034253751737307,8.0,both,0.0,0.0006672997281589798,1.553654711848031,1.5536547118480009,-1.7768273559240053,-2.7834170695013682,0.00740415827711316,-9.889663343716043e-06,0.09744448963635524,-0.0024469747188270697,0.0
199-D3-5__ITER1,199-D3-5,1,15.0,ULAG,0.02348201921099613,0.6318808266959371,0.006499760025651134,76.41808286525237,79.00975659726103,-36.20904143262619,27,2,INTERP+EVENT,True,12.571831515803563,-0.08342651768880494,-0.00025483443250232714,0.5480747336765923,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D3-7__ITER1,199-D3-7,1,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D4-101__ITER1,199-D4-101,1,32.0,ULAG,0.0,0.017468306476786065,8.998196228636551e-23,142.01843574676064,146.59935462905742,-69.00921787338032,73,4,INTERP+EVENT,True,-23.270718639857456,0.24271481862711647,-0.0008363520315902614,0.6475264258302278,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D4-102__ITER1,199-D4-102,1,22.0,ULAG,2.1460527673822227e-06,0.00043549943550483917,1.4026997028081977e-18,4.678324951489764,5.072774106162203,-0.339162475744882,9,2,INTERP+EVENT,True,-15.014545576778715,0.3250615328638088,-0.006030913290265368,0.29445045726664415,199-D4-102,1.0,22.0,8.34501180602132e-07,1.96474099427227,2.35919014894471,2.01762950286386,39.9568433248008,0.510590818122839,-0.0056222360886364,5.01099845767421e-06,9.294965253749911e-31,9.0,both,0.0,1.3115515867800909e-06,2.7135839572174945,2.7135839572174936,-2.356791978608742,-54.971388901579516,-0.18552928525903023,-0.0004086772016289675,0.000430488437047165,1.4026997028072682e-18,0.0
199-D4-102__ITER2,199-D4-102,2,22.0,ULAG,0.23108498350691997,0.17309257466576078,0.026966506005312578,18.220423876205587,18.379306959565255,-7.110211938102792,8,4,INTERP+EVENT,True,-39.784014585879895,0.3410523523536029,0.0004912480021551217,0.22362572999771282,199-D4-102,2.0,22.0,0.0931975558736839,15.8701702256708,16.0290533090304,-4.93508511283538,-60.0055654749313,0.435011972024519,0.000523986798242,0.0743593000748361,0.0086201580730539,8.0,both,0.0,0.13788742763323608,2.3502536505347873,2.3502536505348566,-2.1751268252674123,20.221550889051407,-0.09395961967091615,-3.2738796086878314e-05,0.09873327459092468,0.01834634793225868,0.0
199-D4-103__ITER1,199-D4-103,1,55.0,ULAG,0.22155534792796505,0.06956775021524614,0.670446295141931,40.14316100166756,41.27305971659063,-18.07158050083378,13,3,INTERP+EVENT,True,-79.79645243191344,0.6860725045777347,9.609614473945067e-05,0.7426697901099995,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D4-13__ITER1,199-D4-13,1,20.0,ULAG,,,,,,,17,10,INTERP+EVENT,False,,,,,199-D4-13,1.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-13__ITER2,199-D4-13,2,20.0,ULAG,,,,,,,6,0,INTERP+EVENT,False,,,,,199-D4-13,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-14__ITER1,199-D4-14,1,21.0,ULAG,0.22861839641586046,0.07467895213007987,0.4153948717319417,33.78729730966249,34.58308785525924,-14.893648654831246,11,1,INTERP+EVENT,True,99.77127625488431,-0.8179317858084667,-0.0010747806002967025,1.1799711405487352,199-D4-14,1.0,21.0,0.269039949507689,33.1598068263655,33.9555973719622,-13.5799034131828,133.779993370451,-0.992401972102608,-0.0009803996654808,0.0904725435701392,0.453958898636294,11.0,both,0.0,-0.040421553091828544,0.6274904832969952,0.6274904832970378,-1.313745241648446,-34.00871711556668,0.17447018629414135,-9.438093481590245e-05,-0.015793591440059332,-0.038564026904352344,0.0
199-D4-14__ITER2,199-D4-14,2,21.0,ULAG,,,,,,,166,6,INTERP+EVENT,False,,,,,199-D4-14,2.0,21.0,2.23796676949162e-05,464.282623649176,470.506599225889,-229.141311824588,42.8960865730238,-0.327086767138949,-0.0001298845349326,5.53320921144726e-06,0.004032437999139,166.0,both,0.0,,,,,,,,,,0.0
199-D4-19__ITER1,199-D4-19,1,11.0,ULAG,,,,,,,9,8,INTERP+EVENT,False,,,,,199-D4-19,1.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-19__ITER2,199-D4-19,2,11.0,ULAG,0.004251187846295523,0.0024857084297949905,0.0847402715078594,63.52681374366149,66.1912227640119,-29.763406871830746,28,14,INTERP+EVENT,True,-101.13746237398813,0.8612604514007888,0.0003496008883100453,1.0322792784551893,199-D4-19,2.0,11.0,4.98758446958458e-05,54.1268329156896,56.79124193604,-24.0634164578448,-165.661489386342,1.33713968050908,0.0005640097466013,5.20813139749451e-05,0.0053705411818605,28.0,both,0.0,0.0042013120015996774,9.399980827971895,9.399980827971895,-5.699990413985947,64.52402701235387,-0.4758792291082913,-0.00021440885829125466,0.0024336271158200452,0.0793697303259989,0.0
199-D4-1__ITER1,199-D4-1,1,4.0,ULAG,0.04728530355403482,0.06381136870242156,0.2786289861340967,44.91399647225715,46.45917391673672,-20.456998236128577,16,6,INTERP+EVENT,True,96.4079421985952,-0.808932713642724,0.0003867446505833417,1.1255759676372838,199-D4-1,1.0,4.0,0.0014075786045021,37.2399540333812,38.7851314778608,-15.6199770166906,153.860539814301,-1.34668872280697,0.000417816956618,0.0004002285880302,0.105462462373625,16.0,both,0.0,0.04587772494953272,7.674042438875951,7.674042438875915,-4.837021219437977,-57.45259761570581,0.5377560091642459,-3.107230603465827e-05,0.06341114011439136,0.1731665237604717,0.0
199-D4-1__ITER2,199-D4-1,2,4.0,ULAG,,,,,,,7,0,INTERP+EVENT,False,,,,,199-D4-1,2.0,4.0,0.0012637909468854,9.43880593195814,9.33062623006876,-1.71940296597907,-7.61940551927852,0.146430875138518,-0.0003706150429571,0.293353893655109,4.98917763479481e-10,7.0,both,0.0,,,,,,,,,,0.0
199-D4-22__ITER1,199-D4-22,1,21.0,ULAG,0.08596865143738219,0.022048487192028177,0.16277437855871468,24.633348462981104,25.027797617653544,-10.316674231490552,9,0,INTERP+EVENT,True,-29.541581166710763,0.30972183310582296,-0.0003145438842550139,0.18598638279100935,199-D4-22,1.0,21.0,0.0924775760467332,23.7192681068389,24.1137172615113,-8.85963405341943,51.772284115801,-0.336928158643305,-0.0003761380521116,0.0250209133627073,0.104879917996396,9.0,both,0.0,-0.006508924609351013,0.914080356142204,0.914080356142243,-1.4570401780711215,-81.31386528251176,0.646649991749128,6.15941678565861e-05,-0.002972426170679124,0.057894460562318686,0.0
199-D4-22__ITER2,199-D4-22,2,21.0,ULAG,9.640412712563773e-08,0.42734524600121904,1.4888173635944706e-12,51.15112421096429,53.815533231314696,-23.575562105482145,28,0,INTERP+EVENT,True,21.237979400347324,-0.13116511108382675,-0.0008237791803014921,0.7537449003770708,199-D4-22,2.0,21.0,7.45240785748891e-08,49.6179766985791,52.2823857189295,-21.8089883492896,48.4877113954687,-0.249156873198992,-0.0008886750997802,0.278381690743007,3.51336326419874e-10,28.0,both,0.0,2.1880048550748628e-08,1.5331475123851916,1.5331475123851988,-1.766573756192546,-27.249731995121376,0.11799176211516524,6.489591947870783e-05,0.14896355525821203,-3.498475090562795e-10,0.0
199-D4-23__ITER1,199-D4-23,1,1.0,ULAG,0.43592604871629903,0.1809581855291138,0.6380698306396514,30.71820533798339,31.323375523971485,-13.359102668991696,10,0,INTERP+EVENT,True,-25.413417955219927,0.24308812405080765,0.0001682684737738216,0.28131981656379046,199-D4-23,1.0,1.0,0.513506743813254,29.9921812741848,30.5973514601729,-11.9960906370924,-18.9383772809737,0.164511818834354,0.0001991559643946,0.23252563923607,0.598279574333031,10.0,both,0.0,-0.07758069509695498,0.7260240637985902,0.7260240637985866,-1.363012031899295,-6.475040674246227,0.07857630521645365,-3.088749062077841e-05,-0.0515674537069562,0.039790256306620364,0.0
199-D4-23__ITER2,199-D4-23,2,1.0,ULAG,,,,,,,33,18,INTERP+EVENT,False,,,,,199-D4-23,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-27__ITER1,199-D4-27,1,27.0,ULAG,0.0538634268963043,0.05168692858002456,0.0566628094753525,79.06192516573503,81.65359889774369,-37.53096258286752,27,2,INTERP+EVENT,True,92.02913848479277,-0.7377977807331706,-0.002170719069432705,1.3359612968035024,199-D4-27,1.0,27.0,2.30847921369737e-05,62.6083510888272,65.2000248208358,-28.3041755444136,250.794298528939,-1.73111925180301,-0.0029633255467083,1.21416021087114e-07,0.0004694057435094,27.0,both,0.0,0.05384034210416733,16.453574076907834,16.4535740769079,-9.226787038453917,-158.76516004414623,0.9933214710698395,0.0007926064772755949,0.05168680716400348,0.0561934037318431,0.0
