KEY,WELL,ITER,LAG,lag_source,p_trend,p_interp,p_event,AIC,BIC,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.005592637331342187,0.6365222361711605,0.0008778319610699997,36.19554737902105,37.61164778122547,-16.097773689510525,15,0,INTERP+EVENT,True,2.8509175741163313,-0.04270060620197802,0.0007045043911130462,0.21742503542855895
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,,,,,,,8,8,EVENT,False,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.5438729613951419,0.676426753487801,0.4443769825432271,36.83644562442215,37.80625892399815,-16.418222812211074,12,0,INTERP+EVENT,True,8.687737961022581,-0.06179664497257985,0.00010657916658733987,0.2891969183251566
199-D2-11__ITER1,199-D2-11,1,58.0,ULAG,0.987317772687275,0.8918016874161219,0.9396270963338845,93.12525566426072,95.99323007323102,-44.56262783213036,31,1,INTERP+EVENT,True,2.9554300780267004,-0.009935584562526611,1.734269373732148e-05,0.3637028348905007
199-D2-11__ITER2,199-D2-11,2,58.0,ULAG,1.2642802249551721e-08,0.6861327587855199,6.3617869603249415e-18,21.547308705435288,23.43618666376817,-8.773654352717644,19,0,INTERP+EVENT,True,0.17513579159201775,0.014226217814329123,0.0007081051062025873,0.11344946937635035
199-D2-11__ITER3,199-D2-11,3,58.0,ULAG,,,,,,,23,12,INTERP+EVENT,False,,,,
