KEY,WELL,ITER,LAG,lag_source,p_trend,p_interp,p_event,AIC,BIC,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.0047147606053906665,0.44825047341626734,0.013179338865976822,35.854041721805096,37.27014212400952,-15.927020860902548,15,0,INTERP+EVENT,True,6.613802131739933,-0.07085076328002363,0.000622081817321476,0.21496400614443198
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,,,,,,,8,8,EVENT,False,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.4330002852703514,0.41860206634371455,0.20105535263456686,36.380491012598384,37.35030431217439,-16.190245506299192,12,0,INTERP+EVENT,True,-16.540038537830476,0.1513592434394181,0.00016795323496087596,0.2837545717084453
199-D2-11__ITER1,199-D2-11,1,58.0,ULAG,0.47149766803783555,0.22419894470388868,0.8665688461490526,94.51502338825935,97.44649519385881,-45.257511694129676,32,1,INTERP+EVENT,True,-9.5691119496984,0.09693663174810091,-3.594314886842872e-05,0.3555326461120549
199-D2-11__ITER2,199-D2-11,2,58.0,ULAG,6.8671760500294e-09,0.5534561515835015,8.093226315884528e-20,17.488761463122113,19.26950497891444,-6.744380731561057,18,0,INTERP+EVENT,True,0.11097696701888671,0.014395302216555085,0.000769174858575704,0.10484284767002587
