NAME,XCOORDS,YCOORDS,TOP,BOT,OU,DIST,EVENT,ANALYTE
199-D4-32,572790.871,151573.746,118.69449599999999,114.11639999999998,100-HR-3-D,176.79158623344364,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-33,572792.629,151585.936,118.17176,113.59976,100-HR-3-D,169.71383980369512,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-34,572804.601,151590.028,118.21968799999999,113.64159199999999,100-HR-3-D,175.62364664253826,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-35,572806.305,151602.279,118.72956799999999,114.14842399999999,100-HR-3-D,168.46476772570517,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-36,572818.193,151606.215,118.733664,114.15861600000001,100-HR-3-D,174.42037913799035,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-37,572820.293,151618.582,118.48682399999998,113.90567999999999,100-HR-3-D,167.47024767047085,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-38,572671.317,151537.856,119.860656,113.764656,100-HR-3-D,114.36576858701146,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-39,572747.453,151650.84,120.56879199999999,114.46669599999998,100-HR-3-D,92.32839172366151,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-4,572754.612,151571.609,119.75323200000001,113.66028,100-HR-3-D,151.86112209560676,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-40,572832.346,151622.634,118.66484,114.0014,100-HR-3-D,173.4664445849961,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-41,572834.105,151634.658,118.42244,113.85044,100-HR-3-D,166.50323655109904,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-42,572847.129,151642.441,119.84428,113.74828,100-HR-3-D,170.64830394672208,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-43,572849.647,151656.21,118.23880000000001,113.74300000000001,100-HR-3-D,163.04124738378385,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-44,572856.117,151665.631,117.56916000000001,112.99716000000001,100-HR-3-D,161.29215359970024,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-45,572868.0,151671.8,119.295384,113.29692,100-HR-3-D,165.71316928513525,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-46,572868.854,151684.937,117.506792,112.93479200000002,100-HR-3-D,157.3280666529996,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-47,572880.483,151690.132,117.8626,113.2906,100-HR-3-D,162.2319562171318,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-48,572881.3,151703.459,119.0732,112.9772,100-HR-3-D,153.68965361361168,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-49,572699.115,151458.694,118.24640000000001,113.6744,100-HR-3-D,188.8758434220186,2008-01-01,Hex. Chromium and Fil. Chromium
199-D4-5,572740.543,151556.5,116.53536799999999,113.37764,100-HR-3-D,151.97806396041577,2008-01-01,Hex. Chromium and Fil. Chromium
