Name,XCoords,YCoords,Distance,OU,System,Model,Lag,Analyte,Trend,Mean,UCL,LCL,STD,Mean_Exceed,UCL_Exceed,Trend_Break,Use_RiverStage,RiverStage_Coeff,RiverStage_Coeff_stderror,Date_Coeff,Date_Coeff_stderror,Intercept,Intercept_stderror,Transformation,N,PND
199-D4-27,572724.228,151493.48,183.3079955,100-HR-3-D,DX,Tobit,27,Hex. & Filt. Chromium,Not Significant,4.956017013,14.57617583,1.685085644,48,FALSE,FALSE,01/01/2011,TRUE,-0.649294968,0.475319467,-0.000381812,0.000216246,84.95369808,58.3186599,log,37,5%
199-D4-31,572749.468,151527.997,178.0170281,100-HR-3-D,DX,Tobit,20,Hex. & Filt. Chromium,Not Significant,22.25777985,28.87228379,17.15862754,48,FALSE,FALSE,01/01/2011,TRUE,0.046808077,0.060846163,2.10E-05,4.20E-05,-2.77664873,7.637787345,log,37,0%
199-D4-34,572804.601,151590.028,175.6236466,100-HR-3-D,DX,Tobit,10,Hex. & Filt. Chromium,Decreasing,10.22716575,12.58212333,8.312978381,48,FALSE,FALSE,01/01/2011,TRUE,-0.334227622,0.063306795,-0.000325775,4.39E-05,47.80804803,7.632884362,log,135,1%
199-D4-38,572671.317,151537.856,114.3657686,100-HR-3-D,DX,Tobit,1,Hex. & Filt. Chromium,Decreasing,3.398686977,4.592486219,2.515211286,48,FALSE,FALSE,01/01/2011,TRUE,-0.760935762,0.095714954,-0.000259091,5.84E-05,95.16651758,11.66706345,log,197,18%
199-D4-39,572747.453,151650.84,92.32839172,100-HR-3-D,DX,Tobit,23,Hex. & Filt. Chromium,Decreasing,1.930369306,3.061544501,1.217139145,48,FALSE,FALSE,01/01/2011,TRUE,-0.372488049,0.114216513,-0.000653027,7.98E-05,57.11572598,13.84546536,log,157,7%
199-D4-48,572881.3,151703.459,153.6896536,100-HR-3-D,DX,Tobit,6,Hex. & Filt. Chromium,Not Significant,3.262429006,6.74634547,1.577660537,48,FALSE,FALSE,01/01/2011,TRUE,-0.919339108,0.452976298,-0.000156409,0.000122571,111.5657904,54.25200965,log,27,26%
199-D4-50,572687.3,151454.007,183.4882634,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,10.7,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,20,5%
199-D4-56,572657.655,151402.283,197.3697107,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,3.42,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,20,15%
199-D4-60,572632.367,151368.255,202.2904747,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,18.6,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,15,13%
199-D4-68,572581.324,151299.838,212.0395421,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,11.3,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,11,36%
199-D4-78,572511.284,151218.263,216.9804813,100-HR-3-D,DX,Tobit,7,Hex. & Filt. Chromium,Increasing,12.8259591,20.06198014,8.199849945,48,FALSE,FALSE,01/01/2011,TRUE,-0.007531181,0.121375855,0.00024163,6.61E-05,-1.3796732,14.85243337,log,30,3%
199-D4-83,572859.432,151723.418,124.0863334,100-HR-3-D,DX,Tobit,17,Hex. & Filt. Chromium,Decreasing,2.210923477,3.185358795,1.534578343,48,FALSE,FALSE,01/01/2011,TRUE,-0.467314432,0.10049329,-0.000288309,6.42E-05,61.05709349,12.01692198,log,144,21%
199-D4-84,572568.043,151433.521,110.7175953,100-HR-3-D,DX,Tobit,2,Hex. & Filt. Chromium,Not Significant,6.821633631,8.684983223,5.358062786,48,FALSE,FALSE,01/01/2011,TRUE,-0.293977419,0.090508294,3.56E-05,7.08E-05,35.51225401,11.08058868,log,181,3%
199-D4-85,572486.163,151324.202,126.0607485,100-HR-3-D,DX,Tobit,8,Hex. & Filt. Chromium,Not Significant,5.632872441,6.783368785,4.677506552,48,FALSE,FALSE,01/01/2011,TRUE,-0.059818485,0.058117148,-8.12E-05,3.65E-05,10.32407316,7.099878621,log,177,3%
199-D4-86,572389.064,151202.144,130.8599016,100-HR-3-D,DX,Tobit,8,Hex. & Filt. Chromium,Not Significant,6.732652813,12.04674754,3.762726308,48,FALSE,FALSE,01/01/2011,TRUE,-0.591998823,0.153596203,-2.42E-05,9.49E-05,71.46358015,18.92298992,log,39,18%
199-D4-95,572612.82,151226.7,285.1115798,100-HR-3-D,DX,Tobit,57,Hex. & Filt. Chromium,Not Significant,13.42765872,16.20123501,11.12890582,48,FALSE,FALSE,01/01/2011,TRUE,-0.335835103,0.078528466,8.84E-05,0.000147627,40.01709226,10.55430778,log,193,1%
199-D4-96,572777.03,151519.78,203.7150577,100-HR-3-D,DX,Tobit,10,Hex. & Filt. Chromium,Not Significant,9.578050679,12.49463124,7.342277899,48,FALSE,FALSE,01/01/2011,TRUE,0.249665442,0.101504816,-5.28E-07,0.000111833,-26.86195549,11.97362627,log,181,2%
199-D4-97,572906.23,151625.33,225.4036697,100-HR-3-D,DX,Tobit,48,Hex. & Filt. Chromium,Not Significant,6.080884059,9.413151628,3.92824342,48,FALSE,FALSE,01/01/2011,TRUE,-0.204958466,0.162350921,0.000339449,0.000262489,18.96049625,21.0092809,log,187,3%
199-D4-98,572574.52,151481.65,82.43520085,100-HR-3-D,DX,Tobit,1,Hex. & Filt. Chromium,Decreasing,2.035989911,2.722746339,1.522453582,48,FALSE,FALSE,01/01/2011,TRUE,-0.573869552,0.08693271,-0.000404485,5.47E-05,75.72314298,10.59613049,log,192,18%
199-D4-99,572527.36,151377.08,119.7976664,100-HR-3-D,DX,Tobit,50,Hex. & Filt. Chromium,Not Significant,3.170666584,4.054071561,2.479760516,48,FALSE,FALSE,01/01/2011,TRUE,0.214322289,0.071775442,-1.27E-05,4.56E-05,-23.59831856,8.764146824,log,188,12%
199-D5-101,572943.04,151521.52,323.3730352,100-HR-3-D,DX,Tobit,4,Hex. & Filt. Chromium,Not Significant,3.870417331,6.495185797,2.306343619,48,FALSE,FALSE,01/01/2011,TRUE,-0.579360189,0.238172016,-0.000130315,0.000589715,71.54930151,34.10583604,log,197,4%
199-D5-103,573505.87,151460.87,774.680468,100-HR-3-D,DX,Tobit,66,Hex. & Filt. Chromium,Decreasing,26.55331474,35.78579623,19.70274796,48,FALSE,FALSE,01/01/2011,TRUE,-0.055848065,0.090638581,-0.000667398,9.21E-05,23.07979549,10.92237734,log,210,0%
199-D5-104,573265.48,151422.43,626.0375012,100-HR-3-D,DX,Tobit,44,Hex. & Filt. Chromium,Decreasing,4.180005984,5.270624809,3.31506238,48,FALSE,FALSE,01/01/2011,TRUE,0.048846959,0.054266663,-0.001443929,3.96E-05,24.47422193,6.598461603,log,368,0%
199-D5-106,573503.74,151597.97,677.8288598,100-HR-3-D,DX,Tobit,55,Hex. & Filt. Chromium,Decreasing,4.616943576,6.8490659,3.112273746,48,FALSE,FALSE,01/01/2011,TRUE,0.059465945,0.087901855,-0.000410652,5.61E-05,2.766591289,10.4294867,log,31,0%
199-D5-123,573824.21,151639.41,839.2197615,100-HR-3-D,DX,Tobit,0,Hex. & Filt. Chromium,Decreasing,1.607534699,2.612585573,0.989122743,48,FALSE,FALSE,01/01/2011,FALSE,NA,NA,-0.00087943,6.64E-05,17.98062563,1.104521957,log,55,0%
199-D5-125,573667.39,151746.18,659.2229117,100-HR-3-D,DX,Tobit,47,Hex. & Filt. Chromium,Decreasing,3.314853793,5.668772445,1.938383622,48,FALSE,FALSE,01/01/2011,TRUE,0.432867273,0.171397377,-0.000974488,0.000103039,-29.90532453,21.44885307,log,58,3%
199-D5-127,572992.26,151428.31,423.1091431,100-HR-3-D,DX,Tobit,77,Hex. & Filt. Chromium,Not Significant,3.432088329,4.703064648,2.50458609,48,FALSE,FALSE,01/01/2011,TRUE,-0.126295565,0.107210882,-0.00013548,0.000104965,18.66421452,13.27795419,log,203,7%
199-D5-130,574039.2,151928.51,739.7205318,100-HR-3-D,DX,Tobit,44,Hex. & Filt. Chromium,Not Significant,7.907932753,10.71739329,5.834945003,48,FALSE,FALSE,01/01/2011,TRUE,0.218690368,0.079229388,-0.000107903,0.000164137,-21.29877367,10.31575659,log,163,0%
199-D5-131,573684.39,152006.75,462.3426405,100-HR-3-D,DX,Tobit,27,Hex. & Filt. Chromium,Decreasing,10.22261469,12.97151893,8.056253998,48,FALSE,FALSE,01/01/2011,TRUE,0.182503292,0.076093665,-0.000217673,9.62E-05,-14.63434238,9.130028856,log,182,1%
199-D5-133,573731.55,151497.37,895.9699124,100-HR-3-D,DX,Tobit,0,Hex. & Filt. Chromium,Increasing,23.27459376,79.93778244,6.776604231,48,FALSE,TRUE,01/01/2011,FALSE,NA,NA,0.002048486,0.000650274,-37.62979647,12.53532568,log,53,9%
199-D5-134,573675.32,151862.46,571.5730429,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,13,77%
199-D5-14,573789.632,151787.99,700.1089084,100-HR-3-D,DX,Tobit,55,Hex. & Filt. Chromium,Not Significant,6.587022687,9.445689304,4.593509958,48,FALSE,FALSE,01/01/2011,TRUE,-0.008681934,0.136597239,-2.79E-05,0.000111994,3.453549287,16.91196047,log,51,0%
