KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D2-11__ITER1,199-D2-11,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,58,0.885103048,26,89.05388409,91.85627886,0.385122183,87.14549482,87.21883554,87.2979865,88.5466922,88.62003292,88.69918388,NA,NA,3.299344505,-0.024773398,9.72E-05,-1.013607576,0.761845456,0.684316132,4,4,INTERP+EVENT,TRUE
199-D2-11__ITER2,199-D2-11,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,58,1.72E-08,14,18.29788508,20.0786286,1,19.17361029,49.93134152,52.05293575,20.06398205,50.82171328,52.9433075,NA,NA,-16.73922148,0.060918142,0.000758921,-2.225184273,0.077423225,3.06E-23,4,4,INTERP+EVENT,TRUE
199-D2-11__ITER3,199-D2-11,3,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D2-12__ITER1,199-D2-12,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D2-12__ITER2,199-D2-12,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,52,0.223404644,6,28.3276243,28.93279448,0.680525499,29.21406539,27.55784433,29.32516551,29.51665048,27.86042942,29.6277506,NA,NA,30.68808895,-0.224898531,-0.00014444,-1.5128749,0.067361711,0.252558932,4,4,INTERP+EVENT,TRUE
199-D2-14__ITER1,199-D2-14,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,48,0.008169998,13,42.6218116,44.28823829,0.388254819,40.72962479,49.86686645,50.23638494,41.56283814,50.70007979,51.06959828,NA,NA,-82.48487745,0.088387321,0.003809201,-0.005733209,0.742508729,0.000748897,4,4,INTERP+EVENT,TRUE
199-D3-2__ITER1,199-D3-2,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7,7.17E-07,24,59.2012772,61.86568622,1,83.54271917,63.91196948,85.49805911,84.87492368,65.24417399,86.83026362,NA,NA,94.87905968,-0.746231767,-0.000327647,-0.598590774,1.48E-08,0.005745556,4,4,INTERP+EVENT,TRUE
199-D3-2__ITER2,199-D3-2,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7,0.002429297,4,13.59445846,13.75334154,0.791286306,13.12626762,17.41764596,23.63476539,13.20570916,17.49708751,23.71420693,NA,NA,-8.759367997,0.110532406,-0.000114289,-2.332942154,0.193826863,0.003425375,4,4,INTERP+EVENT,TRUE
199-D3-5__ITER1,199-D3-5,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,15,0.019325351,23,75.08494018,77.67661391,0.503503883,73.71261246,80.33296522,80.97761525,75.00844933,81.62880208,82.27345211,NA,NA,18.8580867,-0.104308445,-0.000274728,-0.60871546,0.425936298,0.00411883,4,4,INTERP+EVENT,TRUE
199-D3-7__ITER1,199-D3-7,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
