"KEY","WELL","ITER","CLASS","MODEL","FORM_raw","FORM_label","LOG","LAG","p_trend","df","AIC","BIC","RL","AIC_EVENT","AIC_INTERP","AIC_NULL","BIC_EVENT","BIC_INTERP","BIC_NULL","logLik","n_obs","beta_intercept","beta_interp","beta_event","beta_logSigma","p_interp","p_event","SUM_rows","SUM_cols","model_type","fit_ok"
"199-D3-2__ITER1","199-D3-2",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",7,7.16855927729299e-07,24,59.2012771972179,61.8656862175683,1,83.5427191712743,63.9119694824112,85.4980591056541,84.8749236814495,65.2441739925864,86.8302636158293,NA,NA,94.87905967952,-0.746231766700769,-0.000327647393724401,-0.598590774340995,1.48455664795946e-08,0.00574555606511799,4,4,"INTERP+EVENT",TRUE
"199-D3-2__ITER2","199-D3-2",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",7,0.00242929675534165,4,13.5944584610621,13.7533415444218,0.791286305675906,13.1262676158105,17.4176459634533,23.6347653902786,13.2057091574904,17.4970875051331,23.7142069319584,NA,NA,-8.75936799672646,0.11053240583542,-0.000114288622296733,-2.33294215379404,0.193826862730729,0.00342537517373076,4,4,"INTERP+EVENT",TRUE
"199-D3-5__ITER1","199-D3-5",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",15,0.0193253507261356,23,75.0849401753112,77.6766139073199,0.503503882671426,73.7126124643313,80.3329652175415,80.9776152469983,75.0084493303357,81.6288020835458,82.2734521130027,NA,NA,18.8580867049985,-0.104308445148669,-0.000274727578458336,-0.608715459564027,0.425936297874865,0.0041188300000476,4,4,"INTERP+EVENT",TRUE
"199-D3-7__ITER1","199-D3-7",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
"199-D4-1__ITER1","199-D4-1",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",4,0.00140757860450214,12,37.2399540333812,38.7851314778608,1,46.005356652339,37.8125253736082,48.3717227386145,46.7779453745788,38.585114095848,49.1443114608543,NA,NA,153.860539814301,-1.34668872280697,0.000417816956618041,-0.178925815985494,0.000400228588030243,0.105462462373625,4,4,"INTERP+EVENT",TRUE
"199-D4-1__ITER2","199-D4-1",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",4,0.00126379094688545,3,9.43880593195814,9.33062623006876,0.614244565671974,8.46408170252842,20.5692873258523,20.7860847060746,8.40999185158373,20.5151974749077,20.7319948551299,NA,NA,-7.61940551927852,0.146430875138518,-0.000370615042957102,-1.93862158204841,0.293353893655109,4.98917763479481e-10,4,4,"INTERP+EVENT",TRUE
"199-D4-101__ITER1","199-D4-101",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",32,0,69,130.532393151036,135.113312033333,1,144.55856730506,195.706300642576,214.821790409176,146.849026746208,197.996760083724,217.112249850325,NA,NA,-25.3054062616873,0.350949117700341,-0.000778077244164316,-0.509126737717514,2.27372265758777e-05,1.76358251808269e-22,4,4,"INTERP+EVENT",TRUE
"199-D4-102__ITER1","199-D4-102",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",22,8.34501180602132e-07,5,1.96474099427227,2.35919014894471,1,9.9383075620663,27.0535783620627,27.957604352599,10.1355321394025,27.250802939399,28.1548289299352,NA,NA,39.9568433248008,0.510590818122839,-0.00562223608863649,-1.39509691340774,5.01099845767421e-06,9.29496525374991e-31,4,4,"INTERP+EVENT",TRUE
"199-D4-102__ITER2","199-D4-102",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",22,0.0931975558736839,4,15.8701702256708,16.0290533090304,1,17.2403282893446,18.4182201225086,18.6162377900023,17.3197698310245,18.4976616641884,18.6956793316821,NA,NA,-60.0055654749313,0.435011972024519,0.000523986798242087,-1.52825253523565,0.0743593000748361,0.00862015807305396,4,4,"INTERP+EVENT",TRUE
"199-D4-103__ITER1","199-D4-103",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",55,0.135580470242915,9,38.360519733586,39.4904184485091,0.867016777714196,40.347173822827,38.0751258317246,40.3568996107973,40.9121231802885,38.6400751891861,40.9218489682589,NA,NA,-67.5388451375119,0.533769853821687,0.000348447638746629,-0.34921682124525,0.0308755716157714,0.18272143879362,4,4,"INTERP+EVENT",TRUE
"199-D4-13__ITER1","199-D4-13",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
"199-D4-13__ITER2","199-D4-13",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
"199-D4-14__ITER1","199-D4-14",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",21,0.269039949507689,7,33.1598068263655,33.9555973719622,0.483343034213385,33.7166188344766,31.705749503064,33.7855976248175,34.114514107275,32.1036447758624,34.1834928976159,NA,NA,133.779993370451,-0.992401972102608,-0.000980399665480824,0.177864066721157,0.0904725435701392,0.453958898636294,4,4,"INTERP+EVENT",TRUE
"199-D4-14__ITER2","199-D4-14",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",21,2.23796676949162e-05,162,464.282623649176,470.506599225889,1,481.796360271641,470.29764255509,483.697339056173,484.908348059997,473.409630343447,486.80932684453,NA,NA,42.8960865730238,-0.327086767138949,-0.000129884534932665,-0.326722214115889,5.53320921144726e-06,0.00403243799913901,4,4,"INTERP+EVENT",TRUE
"199-D4-19__ITER1","199-D4-19",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
"199-D4-19__ITER2","199-D4-19",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",11,4.98758446958458e-05,24,54.1268329156896,56.79124193604,1,71.8104513247117,62.1552773167645,71.9387804089708,73.1426558348869,63.4874818269397,73.270984919146,NA,NA,-165.661489386342,1.33713968050908,0.000564009746601381,-0.188465972250443,5.20813139749451e-05,0.00537054118186056,4,4,"INTERP+EVENT",TRUE
"199-D4-22__ITER1","199-D4-22",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",21,0.0924775760467332,5,23.7192681068389,24.1137172615113,1,25.7101758666857,24.0263253094665,26.4808462767767,25.9074004440219,24.2235498868028,26.6780708541129,NA,NA,51.772284115801,-0.336928158643305,-0.000376138052111656,-1.67397253633374,0.0250209133627073,0.104879917996396,4,4,"INTERP+EVENT",TRUE
"199-D4-22__ITER2","199-D4-22",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",21,7.45240785748891e-08,24,49.6179766985791,52.2823857189295,0.654093213787918,48.7689658806721,72.2002419400689,80.4422638226772,50.1011703908473,73.5324464502441,81.7744683328524,NA,NA,48.4877113954687,-0.249156873198992,-0.000888675099780218,-0.291895110641129,0.278381690743007,3.51336326419874e-10,4,4,"INTERP+EVENT",TRUE
"199-D4-23__ITER1","199-D4-23",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",1,0.513506743813254,6,29.9921812741848,30.5973514601729,0.42185553901115,29.3246716169056,28.2659965778434,29.3251655075152,29.6272567098997,28.5685816708375,29.6277506005092,NA,NA,-18.9383772809737,0.164511818834354,0.000199155964394665,-1.2518840641651,0.23252563923607,0.598279574333031,4,4,"INTERP+EVENT",TRUE
"199-D4-23__ITER2","199-D4-23",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
"199-D4-27__ITER1","199-D4-27",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",27,2.30847921369737e-05,23,62.6083510888272,65.2000248208358,1,79.7573126256645,70.867041047065,81.9610241014114,81.0531494916688,72.1628779130694,83.2568609674157,NA,NA,250.794298528939,-1.73111925180301,-0.00296332554670832,-0.0159918685360761,1.21416021087114e-07,0.000469405743509473,4,4,"INTERP+EVENT",TRUE
"199-D4-27__ITER2","199-D4-27",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",27,0.254333606129071,6,28.5869485799652,29.1921187659533,0.865422549787519,28.2978737910415,29.3005447572329,29.3251655075152,28.6004588840356,29.603129850227,29.6277506005092,NA,NA,84.9536980844853,-0.649294967992333,-0.000381812120462573,-0.325837057800537,0.171933300105262,0.0774570958024965,4,4,"INTERP+EVENT",TRUE
"199-D4-31__ITER1","199-D4-31",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",20,0.000580916004143561,20,56.1858100822827,58.5419177429786,0.958486227682868,68.4648324835547,56.1010099118541,69.0876188477732,69.6428863139027,57.279063742202,70.2656726781211,NA,NA,120.194448060435,-0.873934183768609,-0.000816192118346815,-0.346585407688197,1.00023588998949e-05,0.157955571309473,4,4,"INTERP+EVENT",TRUE
"199-D4-31__ITER2","199-D4-31",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",20,0.748506218521843,9,39.2724951292084,40.4023938441315,0.416291356537999,37.8512205175291,37.5197553540552,37.8518466635655,38.4161698749906,38.0847047115167,38.4167960210271,NA,NA,-2.77664872955012,0.0468080771065014,2.1002986914328e-05,-1.61629825170689,0.44172377999267,0.61733808657249,4,4,"INTERP+EVENT",TRUE
"199-D4-34__ITER1","199-D4-34",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",2,8.19251483800132e-05,11,26.7138538194125,28.1299542216169,0.368127023976734,42.9262888415344,24.7151993663681,43.5332629238359,43.6343390426366,25.4232495674703,44.2413131249381,NA,NA,145.860789450774,-1.20451680940547,2.7965787613277e-05,-0.386802103168196,2.53473589227942e-09,0.970738145898924,4,4,"INTERP+EVENT",TRUE
"199-D4-34__ITER2","199-D4-34",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",10,1.78990156030068e-12,116,292.46278974987,298.037773235434,1,315.559932632179,335.735099027118,344.560554938203,318.347424374961,338.5225907699,347.348046680985,NA,NA,47.8080480255642,-0.334227622485197,-0.000325775199040162,-0.624514959278773,1.29543607213514e-07,1.09513847763299e-13,4,4,"INTERP+EVENT",TRUE
"199-D4-38__ITER1","199-D4-38",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",1,0.875361169352476,5,28.2146088511481,28.6090580058205,0.368381347435981,26.4568847666357,26.21733563682,26.4808462767767,26.6541093439719,26.4145602141562,26.6780708541129,NA,NA,25.1023987030642,-0.167469142690409,-3.78806966995023e-05,-0.779044569612497,0.620214392416188,0.958351334137284,4,4,"INTERP+EVENT",TRUE
"199-D4-38__ITER2","199-D4-38",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",1,2.37365682664858e-13,184,499.356701394288,505.829585319948,1,554.265093679914,516.071415054546,555.494910516942,557.501535642744,519.307857017376,558.731352479772,NA,NA,95.1665175799247,-0.76093576161653,-0.000259091233797904,0.0641049278795848,1.86481990537949e-15,9.0838509679426e-06,4,4,"INTERP+EVENT",TRUE
"199-D4-39__ITER1","199-D4-39",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",23,0.0125413687693539,5,19.7234010818307,20.1178502365032,0.368377234784612,17.7261055391499,24.0442445992415,26.4808462767767,17.9233301164861,24.2414691765778,26.6780708541129,NA,NA,-18.2410863890229,-0.00933727005434233,0.00178946734952059,-1.14712413933034,0.958522076632335,0.00246580264278922,4,4,"INTERP+EVENT",TRUE
"199-D4-39__ITER2","199-D4-39",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",23,9.07052211118753e-13,143,378.018754744846,383.999619918403,1,386.287911054928,430.745054550581,431.475816936103,389.278343641707,433.735487137359,434.466249522882,NA,NA,57.1157259822181,-0.372488048524181,-0.000653026726846906,0.25123106305461,0.00110924094827162,2.83832785426678e-16,4,4,"INTERP+EVENT",TRUE
"199-D4-48__ITER1","199-D4-48",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",6,0.00198192797874319,10,33.7654047304875,35.043519389718,0.441511529743893,43.2170758282822,32.1303024417997,44.2127750932914,43.8561331578974,32.7693597714149,44.8518324229067,NA,NA,229.878377307681,-1.83316740680313,-0.000809039337538538,0.00254535493790498,0.000334957266736271,0.544883688635961,4,4,"INTERP+EVENT",TRUE
"199-D4-48__ITER2","199-D4-48",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",6,0.0503752153576532,9,34.9025635150085,36.0324622299316,0.801751875608028,38.7666147020605,34.4606513129705,38.8790754822776,39.3315640595221,35.025600670432,39.4440248397391,NA,NA,111.565790378932,-0.919339108178105,-0.000156409065464964,-0.519848066730591,0.0424020631546155,0.201931380157809,4,4,"INTERP+EVENT",TRUE
"199-D4-50__ITER1","199-D4-50",1,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",29,0.00100649915724504,11,33.9338411531435,35.3499415553479,1,42.3658309812229,39.3603389309641,45.7363954535378,43.0738811823251,40.0683891320663,46.44444565464,NA,NA,261.845173761601,-1.78709455949848,-0.00331651048509069,-0.0240091510765328,7.65069423160692e-05,0.00238280440869803,4,4,"INTERP+EVENT",TRUE
"199-D4-50__ITER2","199-D4-50",2,"Trend_Summary","Tobit","log(VAL) ~ INTERP + EVENT","INTERP + EVENT","log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"SUM_ROWS_1",FALSE
