KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
199-D4-39__ITER1,199-D4-39,1,23.0,ULAG,0.6958798914772821,0.7690429298427695,1.0,28.815737191171845,29.210186345844285,-12.407868595585922,9,0,INTERP+EVENT,True,58.344993105299,-0.44375335940889404,0.0,0.49614559981168227,199-D4-39,1.0,Trend_Summary,0.0125413687693539,INTERP + EVENT,INTERP + EVENT,23.0,both,0.0,0.6833385227079283,,
199-D4-39__ITER2,199-D4-39,2,23.0,ULAG,,,,,,,148,11,INTERP+EVENT,False,,,,,199-D4-39,2.0,Trend_Summary,9.07052211118753e-13,INTERP + EVENT,INTERP + EVENT,23.0,both,0.0,,,
199-D4-48__ITER1,199-D4-48,1,6.0,ULAG,0.018343057171058663,0.004075990351909729,1.0,39.030954523228814,40.30906918245933,-17.515477261614407,14,3,INTERP+EVENT,True,199.58361982878296,-1.6736544051744224,0.0,1.2019970573929144,199-D4-48,1.0,Trend_Summary,0.0019819279787431,INTERP + EVENT,INTERP + EVENT,6.0,both,0.0,0.01636112919231556,,
199-D4-48__ITER2,199-D4-48,2,6.0,ULAG,0.41844570646553325,0.2139619365338512,1.0,39.85704358909264,40.98694230401571,-17.92852179454632,13,4,INTERP+EVENT,True,35.598506921040126,-0.29441311649832375,0.0,0.683215944273447,199-D4-48,2.0,Trend_Summary,0.0503752153576532,INTERP + EVENT,INTERP + EVENT,6.0,both,0.0,0.36807049110788004,,
199-D4-50__ITER1,199-D4-50,1,,NONE,,,,,,,15,1,INTERP+EVENT,False,,,,,199-D4-50,1.0,Trend_Summary,0.001006499157245,INTERP + EVENT,INTERP + EVENT,29.0,both,,,,
199-D4-50__ITER2,199-D4-50,2,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D4-50,2.0,Trend_Summary,,,,,both,,,,
199-D4-56__ITER1,199-D4-56,1,,NONE,,,,,,,14,3,INTERP+EVENT,False,,,,,199-D4-56,1.0,Trend_Summary,0.0033771561514669,INTERP + EVENT,INTERP + EVENT,28.0,both,,,,
199-D4-56__ITER2,199-D4-56,2,,NONE,,,,,,,6,0,INTERP+EVENT,False,,,,,199-D4-56,2.0,Trend_Summary,,,,,both,,,,
199-D4-60__ITER1,199-D4-60,1,,NONE,,,,,,,10,2,INTERP+EVENT,False,,,,,199-D4-60,1.0,Trend_Summary,0.0113305277523752,INTERP + EVENT,INTERP + EVENT,84.0,both,,,,
199-D4-60__ITER2,199-D4-60,2,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D4-60,2.0,Trend_Summary,,,,,both,,,,
199-D4-68__ITER1,199-D4-68,1,,NONE,,,,,,,5,3,INTERP+EVENT,False,,,,,199-D4-68,1.0,Trend_Summary,,,,,both,,,,
199-D4-68__ITER2,199-D4-68,2,,NONE,,,,,,,6,1,INTERP+EVENT,False,,,,,199-D4-68,2.0,Trend_Summary,,,,,both,,,,
199-D4-78__ITER1,199-D4-78,1,7.0,ULAG,0.9591227097908024,0.7724341884465616,1.0,51.595219455676954,53.14039690015652,-23.797609727838477,16,1,INTERP+EVENT,True,17.185485263733376,-0.12217195404281184,0.0,0.9944225150357078,199-D4-78,1.0,Trend_Summary,0.665551754269426,INTERP + EVENT,INTERP + EVENT,7.0,both,0.0,0.29357095552137635,,
199-D4-78__ITER2,199-D4-78,2,7.0,ULAG,0.3789706333823134,0.159556873425046,1.0,41.78968580696849,43.06780046619901,-18.894842903484246,14,0,INTERP+EVENT,True,22.553477067984122,-0.17654311863757377,0.0,0.5565089835093255,199-D4-78,2.0,Trend_Summary,0.002926753922948,INTERP + EVENT,INTERP + EVENT,7.0,both,0.0,0.3760438794593654,,
199-D4-83__ITER1,199-D4-83,1,17.0,ULAG,0.9800604390811748,0.9463093683888288,1.0,29.50061152430935,29.89506067898179,-12.750305762154674,9,0,INTERP+EVENT,True,0.7689758925189802,0.028626693574701163,0.0,0.3552474633947754,199-D4-83,1.0,Trend_Summary,0.0928118302216163,INTERP + EVENT,INTERP + EVENT,17.0,both,0.0,0.8872486088595585,,
199-D4-83__ITER2,199-D4-83,2,17.0,ULAG,,,,,,,135,30,INTERP+EVENT,False,,,,,199-D4-83,2.0,Trend_Summary,6.30758580921764e-08,INTERP + EVENT,INTERP + EVENT,17.0,both,0.0,,,
199-D4-84__ITER1,199-D4-84,1,2.0,ULAG,0.6058625511961073,0.430636898279274,1.0,31.37656640040031,31.9817365863884,-13.688283200200155,10,0,INTERP+EVENT,True,15.429365316814375,-0.09733563632625017,0.0,0.14064624371597198,199-D4-84,1.0,Trend_Summary,0.0116822100761729,INTERP + EVENT,INTERP + EVENT,2.0,both,0.0,0.5941803411199345,,
199-D4-84__ITER2,199-D4-84,2,2.0,ULAG,,0.3266751029994732,1.0,161.96736345020838,166.01806683167868,-78.98368172510419,56,0,INTERP+EVENT,True,12.813717970740461,-0.08512513369333365,0.0,0.6130763575011476,199-D4-84,2.0,Trend_Summary,3.6637359812630205e-15,INTERP + EVENT,INTERP + EVENT,2.0,both,0.0,,,
199-D4-84__ITER3,199-D4-84,3,2.0,ULAG,,,,,,,115,6,INTERP+EVENT,False,,,,,199-D4-84,3.0,Trend_Summary,0.0018667618392689,INTERP + EVENT,INTERP + EVENT,2.0,both,0.0,,,
199-D4-85__ITER1,199-D4-85,1,8.0,ULAG,0.8843743226253403,0.8046902311091874,1.0,26.457266803101085,26.616149886460757,-11.228633401550542,8,0,INTERP+EVENT,True,-6.620995626451332,0.0752872664364774,0.0,0.2804251348181068,199-D4-85,1.0,Trend_Summary,0.107651407720469,INTERP + EVENT,INTERP + EVENT,8.0,both,0.0,0.7767229149048713,,
