"KEY","WELL","ITER","CLASS","p_trend","AIC","BIC","LAG"
"199-D4-78__ITER2","199-D4-78","2","Trend_Summary","0.00292675392294806","INTERP + EVENT","INTERP + EVENT","7"
"199-D4-83__ITER1","199-D4-83","1","Trend_Summary","0.0928118302216163","INTERP + EVENT","INTERP + EVENT","17"
"199-D4-83__ITER2","199-D4-83","2","Trend_Summary","6.30758580921764e-08","INTERP + EVENT","INTERP + EVENT","17"
"199-D4-84__ITER1","199-D4-84","1","Trend_Summary","0.0116822100761729","INTERP + EVENT","INTERP + EVENT","2"
"199-D4-84__ITER2","199-D4-84","2","Trend_Summary","3.66373598126302e-15","INTERP + EVENT","INTERP + EVENT","2"
"199-D4-84__ITER3","199-D4-84","3","Trend_Summary","0.00186676183926893","INTERP + EVENT","INTERP + EVENT","2"
"199-D4-85__ITER1","199-D4-85","1","Trend_Summary","0.107651407720469","INTERP + EVENT","INTERP + EVENT","8"
"199-D4-85__ITER2","199-D4-85","2","Trend_Summary","0.0865682851662133","INTERP + EVENT","INTERP + EVENT","8"
"199-D4-86__ITER1","199-D4-86","1","Trend_Summary","0.0701478847354855","INTERP + EVENT","INTERP + EVENT","8"
"199-D4-86__ITER2","199-D4-86","2","Trend_Summary","8.43889380524043e-05","INTERP + EVENT","INTERP + EVENT","8"
"199-D4-95__ITER1","199-D4-95","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","37"
"199-D4-95__ITER2","199-D4-95","2","Trend_Summary","0.00679619721709213","INTERP + EVENT","INTERP + EVENT","8"
"199-D4-95__ITER3","199-D4-95","3","Trend_Summary","7.59010856343778e-05","INTERP + EVENT","INTERP + EVENT","57"
"199-D4-96__ITER1","199-D4-96","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","15"
"199-D4-96__ITER2","199-D4-96","2","Trend_Summary","0.0551209559864532","INTERP + EVENT","INTERP + EVENT","10"
"199-D4-97__ITER1","199-D4-97","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","64"
"199-D4-97__ITER2","199-D4-97","2","Trend_Summary","0.113208949339839","INTERP + EVENT","INTERP + EVENT","48"
"199-D4-98__ITER1","199-D4-98","1","Trend_Summary","3.70814490224802e-14","INTERP + EVENT","INTERP + EVENT","1"
"199-D4-99__ITER1","199-D4-99","1","Trend_Summary","0.00382923684906089","INTERP + EVENT","INTERP + EVENT","50"
"199-D5-101__ITER1","199-D5-101","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","63"
"199-D5-101__ITER2","199-D5-101","2","Trend_Summary","0.0488766075719911","INTERP + EVENT","INTERP + EVENT","4"
"199-D5-103__ITER1","199-D5-103","1","Trend_Summary","0.0439772944833818","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-103__ITER2","199-D5-103","2","Trend_Summary","9.61258850296076e-11","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-103__ITER3","199-D5-103","3","Trend_Summary","2.22044604925031e-15","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-103__ITER4","199-D5-103","4","Trend_Summary","2.86687562578436e-10","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-104__ITER1","199-D5-104","1","Trend_Summary","0.490697196523243","INTERP + EVENT","INTERP + EVENT","44"
"199-D5-104__ITER2","199-D5-104","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","44"
"199-D5-106__ITER1","199-D5-106","1","Trend_Summary","1.30109151341706e-07","INTERP + EVENT","INTERP + EVENT","55"
"199-D5-123__ITER1","199-D5-123","1","Trend_Summary","0.268458212589203","EVENT","EVENT","0"
"199-D5-123__ITER2","199-D5-123","2","Trend_Summary","3.66373598126302e-15","EVENT","EVENT","0"
"199-D5-125__ITER1","199-D5-125","1","Trend_Summary","0.00677303430966314","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-125__ITER2","199-D5-125","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","47"
"199-D5-127__ITER1","199-D5-127","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","90"
"199-D5-127__ITER2","199-D5-127","2","Trend_Summary","0.311126129131636","INTERP + EVENT","INTERP + EVENT","77"
"199-D5-130__ITER1","199-D5-130","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","3"
"199-D5-130__ITER2","199-D5-130","2","Trend_Summary","0.0160057179235868","INTERP + EVENT","INTERP + EVENT","44"
"199-D5-131__ITER1","199-D5-131","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","2"
"199-D5-131__ITER2","199-D5-131","2","Trend_Summary","0.00584238135975079","INTERP + EVENT","INTERP + EVENT","27"
"199-D5-133__ITER1","199-D5-133","1","Trend_Summary","3.15779624671109e-11","EVENT","EVENT","0"
"199-D5-133__ITER2","199-D5-133","2","Trend_Summary","0.0073402017922406","EVENT","EVENT","0"
"199-D5-134__ITER1","199-D5-134","1","Trend_Summary",NA,NA,NA,NA
"199-D5-14__ITER1","199-D5-14","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","55"
"199-D5-14__ITER2","199-D5-14","2","Trend_Summary","0.968478577991914","INTERP + EVENT","INTERP + EVENT","55"
"199-D5-141__ITER1","199-D5-141","1","Trend_Summary",NA,NA,NA,NA
"199-D5-142__ITER1","199-D5-142","1","Trend_Summary","7.18931195686778e-08","INTERP + EVENT","INTERP + EVENT","54"
"199-D5-143__ITER1","199-D5-143","1","Trend_Summary","2.28450591777118e-12","INTERP + EVENT","INTERP + EVENT","77"
"199-D5-145__ITER1","199-D5-145","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","36"
"199-D5-146__ITER1","199-D5-146","1","Trend_Summary","3.15075746160076e-07","INTERP + EVENT","INTERP + EVENT","16"
"199-D5-146__ITER2","199-D5-146","2","Trend_Summary","0.486924361512689","INTERP + EVENT","INTERP + EVENT","16"
"199-D5-146__ITER3","199-D5-146","3","Trend_Summary","0.207302494850513","INTERP + EVENT","INTERP + EVENT","16"
"199-D5-149__ITER1","199-D5-149","1","Trend_Summary","0.0394491251130785","INTERP + EVENT","INTERP + EVENT","31"
"199-D5-149__ITER2","199-D5-149","2","Trend_Summary","0.703646708543205","INTERP + EVENT","INTERP + EVENT","31"
"199-D5-15__ITER1","199-D5-15","1","Trend_Summary","0.0316207183884131","INTERP + EVENT","INTERP + EVENT","42"
"199-D5-15__ITER2","199-D5-15","2","Trend_Summary","1.14615339441571e-09","INTERP + EVENT","INTERP + EVENT","42"
"199-D5-150__ITER1","199-D5-150","1","Trend_Summary","1.07365616675015e-06","INTERP + EVENT","INTERP + EVENT","44"
"199-D5-151__ITER1","199-D5-151","1","Trend_Summary","0.0112162612689271","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-151__ITER2","199-D5-151","2","Trend_Summary","0.537057823207918","INTERP + EVENT","INTERP + EVENT","66"
"199-D5-152__ITER1","199-D5-152","1","Trend_Summary","0.002370926659648","INTERP + EVENT","INTERP + EVENT","69"
"199-D5-153__ITER1","199-D5-153","1","Trend_Summary",NA,NA,NA,NA
"199-D5-153__ITER2","199-D5-153","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","25"
"199-D5-154__ITER1","199-D5-154","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","20"
"199-D5-159__ITER1","199-D5-159","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","18"
"199-D5-16__ITER1","199-D5-16","1","Trend_Summary","0.0889039622333243","INTERP + EVENT","INTERP + EVENT","64"
"199-D5-16__ITER2","199-D5-16","2","Trend_Summary","2.1785842019284e-09","INTERP + EVENT","INTERP + EVENT","64"
"199-D5-160__ITER1","199-D5-160","1","Trend_Summary","1.05617400620872e-05","INTERP + EVENT","INTERP + EVENT","56"
"199-D5-162__ITER1","199-D5-162","1","Trend_Summary",NA,NA,NA,NA
"199-D5-163__ITER1","199-D5-163","1","Trend_Summary",NA,NA,NA,NA
