KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type_py,fit_ok_py,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG_r,p_trend_r,df,AIC_r,BIC_r,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik_r,n_obs_r,beta_intercept_r,beta_interp_r,beta_event_r,beta_logSigma,p_interp_r,p_event_r,SUM_rows,SUM_cols,model_type_r,fit_ok_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
199-D2-11__ITER2,199-D2-11,2,58.0,ULAG,1.2642802249551721e-08,0.6861327587855199,6.3617869603249415e-18,21.547308705435288,23.43618666376817,-8.773654352717644,19,0,INTERP+EVENT,True,0.17513579159201775,0.014226217814329123,0.0007081051062025873,0.11344946937635035,199-D2-11,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,58.0,1.72143012067139e-08,14.0,18.297885084008,20.0786285998003,1.0,19.1736102932049,49.9313415229583,52.0529357462492,20.0639820511011,50.8217132808545,52.9433075041453,,,-16.7392214815582,0.060918142181584,0.0007589213645519,-2.22518427276887,0.077423225267071,3.0634071897479703e-23,4.0,4.0,INTERP+EVENT,True,both,0.0,-4.5714989571621775e-09,3.2494236214272867,3.3575580639678684,,16.914357273150216,-0.046691924367254875,-5.081625834931272e-05,0.6087095335184489,6.361756326253044e-18,
199-D2-11__ITER3,199-D2-11,3,58.0,ULAG,,,,,,,23,12,INTERP+EVENT,False,,,,,199-D2-11,3.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,58.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,0.0,,,,,,,,,,
199-D2-12__ITER1,199-D2-12,1,52.0,ULAG,,,,,,,4,0,INTERP+EVENT,False,,,,,199-D2-12,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D2-12__ITER2,199-D2-12,2,52.0,ULAG,0.3622870664721717,0.1408639066663054,0.3535205209532517,33.18601097027994,33.98180151587668,-14.593005485139969,11,0,INTERP+EVENT,True,24.987201919831104,-0.1982361333453196,-0.00011828629354497629,0.2243129495253968,199-D2-12,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,52.0,0.223404644078907,6.0,28.3276242987445,28.9327944847325,0.680525499058299,29.2140653918257,27.557844325685,29.3251655075152,29.5166504848197,27.860429418679,29.6277506005092,,,30.6880889459262,-0.224898530655162,-0.000144440346419,-1.51287490042309,0.0673617108913125,0.252558931558657,4.0,4.0,INTERP+EVENT,True,both,0.0,0.13888242239326468,4.858386671535438,5.049007031144182,,-5.700887026095096,0.026662397309842406,2.6154052874023716e-05,0.07350219577499291,0.10096158939459471,
199-D2-14__ITER1,199-D2-14,1,48.0,ULAG,0.008169997571230048,0.7451933006605187,0.0009030752424671055,43.59180555138829,45.25823223950072,-19.795902775694145,17,1,INTERP+EVENT,True,-29.43413559659921,0.0883872996898251,0.003809200787628054,0.9942831994243848,199-D2-14,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,48.0,0.00816999757123,13.0,42.6218116023253,44.2882382904378,0.388254819332754,40.7296247941899,49.8668664467732,50.236384937104,41.5628381382461,50.7000797908294,51.0695982811602,,,-82.4848774518426,0.0883873213030146,0.0038092007863208,-0.0057332093590111,0.742508728739843,0.0007488970464496,4.0,4.0,INTERP+EVENT,True,both,0.0,4.683753385137379e-17,0.9699939490629887,0.9699939490629177,,53.0507418552434,-2.1613189502001084e-08,1.3072537843883403e-12,0.002684571920675727,0.00015417819601750544,
199-D3-2__ITER1,199-D3-2,1,7.0,ULAG,4.103048695358602e-06,1.1689023145828382e-07,0.0030540234656873744,63.52695436892407,66.19136338927449,-29.763477184462037,28,5,INTERP+EVENT,True,86.71119886538904,-0.7136385890287751,-0.00037844734360624986,0.573801765517358,199-D3-2,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7.0,7.16855927729299e-07,24.0,59.2012771972179,61.8656862175683,1.0,83.5427191712743,63.9119694824112,85.4980591056541,84.8749236814495,65.2441739925864,86.8302636158293,,,94.87905967952,-0.746231766700769,-0.0003276473937244,-0.598590774340995,1.48455664795946e-08,0.0057455560651179,4.0,4.0,INTERP+EVENT,True,both,0.0,3.386192767629303e-06,4.325677171706175,4.325677171706182,,-8.167860814130961,0.03259317767199388,-5.079994988184985e-05,1.0204466497868922e-07,-0.002691532599430526,
199-D3-2__ITER2,199-D3-2,2,7.0,ULAG,0.002767358990158564,0.24293913547031654,4.985691460514363e-05,14.923292837784484,15.082175921144156,-5.461646418892242,8,0,INTERP+EVENT,True,-9.48691371353524,0.10067890507624391,-0.00013227381541849916,0.09860279049758648,199-D3-2,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7.0,0.0024292967553416,4.0,13.5944584610621,13.7533415444218,0.791286305675906,13.1262676158105,17.4176459634533,23.6347653902786,13.2057091574904,17.4970875051331,23.7142069319584,,,-8.75936799672646,0.11053240583542,-0.0001142886222967,-2.33294215379404,0.193826862730729,0.0034253751737307,4.0,4.0,INTERP+EVENT,True,both,0.0,0.0003380622348169637,1.3288343767223836,1.3288343767223552,,-0.7275457168087787,-0.009853500759176084,-1.7985193121799163e-05,0.04911227273958754,-0.003375518259125556,
199-D3-5__ITER1,199-D3-5,1,15.0,ULAG,0.0235177868069002,0.6340107838933252,0.0075580449716252706,76.42112692911896,79.01280066112761,-36.21056346455948,27,2,INTERP+EVENT,True,10.808837340428791,-0.06853763673640159,-0.0002581460858574885,0.54792325715709,199-D3-5,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,15.0,0.0193253507261356,23.0,75.0849401753112,77.6766139073199,0.503503882671426,73.7126124643313,80.3329652175415,80.9776152469983,75.0084493303357,81.6288020835458,82.2734521130027,,,18.8580867049985,-0.104308445148669,-0.0002747275784583,-0.608715459564027,0.425936297874865,0.0041188300000476,4.0,4.0,INTERP+EVENT,True,both,0.0,0.004192436080764597,1.3361867538077519,1.3361867538077092,,-8.049249364569707,0.0357708084122674,1.6581492600811483e-05,0.20807448601846024,0.00343921497157767,
199-D3-7__ITER1,199-D3-7,1,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D3-7,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D4-101__ITER1,199-D4-101,1,32.0,ULAG,0.0,0.0009343584646101929,1.182791616999199e-23,136.81617213921595,141.39709102151272,-66.40808606960798,73,4,INTERP+EVENT,True,-29.544023148735963,0.2962427189332669,-0.0008225336178062662,0.623705817875273,199-D4-101,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,32.0,0.0,69.0,130.532393151036,135.113312033333,1.0,144.55856730506,195.706300642576,214.821790409176,146.849026746208,197.996760083724,217.112249850325,,,-25.3054062616873,0.350949117700341,-0.0007780772441643,-0.509126737717514,2.27372265758777e-05,1.76358251808269e-22,4.0,4.0,INTERP+EVENT,True,both,0.0,0.0,6.283778988179961,6.2837789881797335,,-4.238616887048664,-0.05470639876707406,-4.4456373641966226e-05,0.0009116212380343152,-1.64530335638277e-22,
