"KEY","WELL","ITER","CLASS","IS_S4","SLOT_NAMES","p_trend_raw","AIC_raw","BIC_raw","logLik_raw","df_raw","LAG_raw","COD_raw","sigma_raw","p_trend","AIC","BIC","logLik","df","LAG","sigma","model_type","fit_ok","fail_reason","SUM_rows","SUM_cols","SUM_row_names","SUM_col_names","beta_intercept","beta_interp","beta_event","se_intercept","se_interp","se_event","p_interp","p_event"
"17-D__ITER1","17-D",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"17-D__ITER2","17-D",2,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"17-D__ITER3","17-D",3,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"18-S__ITER1","18-S",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"19-M__ITER1","19-M",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-D1-1__ITER1","199-D1-1",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.00559263733134219","INTERP + EVENT","INTERP + EVENT",NA,"11","21","0.25587096561206",NA,0.00559263733134219,NA,NA,NA,11,21,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",-6.94169361814839,-0.0427006055610162,0.000704504395321499,12.7337327703351,0.0899690558920869,0.000211691144810727,NA,NA
"199-D11-1__ITER1","199-D11-1",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-D11-2__ITER1","199-D11-2",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-D11-3__ITER1","199-D11-3",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUM_ROWS_1",FALSE,"no_numeric_fit_fields",1,1,"1","V1",NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-10__ITER1","199-D2-10",1,"Trend_Summary",TRUE,"MODEL | FORM | LOG | NAME | LAG | TS | MINDATE | SUM | vcov | AIC | BIC | df | RES | PRED | p_trend | COD | DATA","0.062295532607093","INTERP + EVENT","INTERP + EVENT",NA,"8","28","-0.381700762525671",NA,0.062295532607093,NA,NA,NA,8,28,NA,"INTERP+EVENT",TRUE,NA,4,4,"(Intercept) | INTERP | EVENT | logSigma","Estimate | Std. error | t value | Pr(> t)",40.19687823253,-0.328847546256802,7.69307685148064e-06,17.4997000016312,0.140581280763481,0.000117585102299619,NA,NA
